Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,60,"['New', 'York', 'becomes', 'first', 'state', 'ban', 'natural', 'gas', 'stoves', 'furnaces', 'new', 'buildings', '|', 'CNN', 'New', 'York', 'first', 'state', 'country', 'ban', 'natural', 'gas', 'fossil', 'fuels', 'new', 'buildings', '--', 'major', 'win', 'climate', 'advocates', ',', 'move', 'could', 'spark', 'pushback', 'fossil', 'fuel', 'interests', '.']",40,"['the', 'to', 'and', 'in', 'most', 'is', 'the', 'in', 'the', 'to', 'and', 'other', 'in', 'most', 'a', 'for', 'but', 'a', 'that', 'from']",20,0.33,
Sentence 2,41,"['New', 'York', 'first', 'state', 'country', 'ban', 'natural', 'gas', 'fossil', 'fuels', 'new', 'buildings', '–', 'major', 'win', 'climate', 'advocates', ',', 'move', 'could', 'spark', 'pushback', 'fossil', 'fuel', 'interests', '.']",26,"['is', 'the', 'in', 'the', 'to', 'and', 'other', 'in', 'most', 'a', 'for', 'but', 'a', 'that', 'from']",15,0.37,
Sentence 3,12,"['Facing', 'mounting', 'pressure', 'environmental', 'advocates', 'climate-minded', 'voters', ',', 'Gov', '.']",10,"['from', 'and']",2,0.17,
Sentence 4,30,"['Kathy', 'Hochul', 'Democratic', 'lawmakers', ',', 'control', 'New', 'York', 'Senate', 'Assembly', ',', 'approved', 'new', '$', '229', 'billion', 'state', 'budget', 'containing', 'provision', 'late', 'Tuesday', 'night', '.']",24,"['and', 'who', 'the', 'and', 'the', 'the']",6,0.2,
Sentence 5,34,"['law', 'bans', 'gas-powered', 'stoves', ',', 'furnaces', 'propane', 'heating', 'effectively', 'encourages', 'use', 'climate-friendly', 'appliances', 'heat', 'pumps', 'induction', 'stoves', 'new', 'residential', 'buildings', 'across', 'state', '.']",23,"['The', 'and', 'and', 'the', 'of', 'such', 'as', 'and', 'in', 'most', 'the']",11,0.32,
Sentence 6,23,"['requires', 'all-electric', 'heating', 'cooking', 'new', 'buildings', 'shorter', 'seven', 'stories', '2026', ',', 'taller', 'buildings', '2029', '.']",15,"['It', 'and', 'in', 'than', 'by', 'and', 'for', 'by']",8,0.35,
Sentence 7,37,"['state', '’', 'budget', '’', 'ban', 'gas', 'new', 'buildings', '–', 'exceptions', 'large', 'commercial', 'industrial', 'buildings', 'like', 'stores', ',', 'hospitals', ',', 'laundromats', ',', 'restaurants', ',', 'instance', '.']",25,"['The', 's', 'doesn', 't', 'in', 'all', 'there', 'are', 'for', 'and', 'and', 'for']",12,0.32,
Sentence 8,11,"['impact', 'new', 'residential', 'buildings', 'could', 'significant', '.']",7,"['But', 'the', 'on', 'be']",4,0.36,
Sentence 9,20,"['Buildings', 'account', '32', '%', 'New', 'York', 'State', '’', 'planet-warming', 'emissions', ',', 'according', '2022', 'report', '.']",15,"['for', 'of', 's', 'to', 'a']",5,0.25,
Sentence 10,40,"['Methane', ',', 'main', 'component', 'natural', 'gas', 'used', 'fuel', 'stoves', 'heat', 'homes', ',', '80', 'times', 'much', 'warming', 'power', 'carbon', 'dioxide', 'first', 'two', 'decades', '’', 'atmosphere', '.']",25,"['the', 'of', 'to', 'and', 'has', 'more', 'than', 'as', 'as', 'in', 'the', 'it', 's', 'in', 'the']",15,0.38,
Sentence 11,21,"['reason', ',', 'scientists', 'narrowed', 'fossil', 'fuel', 'way', 'rapidly', 'decrease', 'planet-warming', 'pollution', '.']",12,"['For', 'that', 'have', 'in', 'on', 'the', 'as', 'a', 'to']",9,0.43,
Sentence 12,18,"['Several', 'studies', 'also', 'found', 'gas', 'stoves', 'responsible', 'severe', 'health', 'conditions', ',', 'including', 'asthma', '.']",14,"['have', 'that', 'are', 'for']",4,0.22,
Sentence 13,40,"['Gas', 'stoves', 'threat', 'health', 'larger', 'climate', 'impact', 'previously', 'known', ',', 'study', 'shows', 'law', '’', 'passage', 'comes', 'federal', 'official', '’', 'comments', 'gas', 'stoves', 'sparked', 'controversy', 'earlier', 'year', '.']",27,"['are', 'a', 'to', 'and', 'have', 'than', 'The', 's', 'after', 'a', 's', 'on', 'this']",13,0.33,
Sentence 14,50,"['Richard', 'Trumka', 'Jr.', ',', 'US', 'Consumer', 'Product', 'Safety', 'commissioner', ',', 'set', 'firestorm', 'said', 'January', 'gas', 'stoves', 'significant', 'source', 'indoor', 'pollution', 'linked', 'childhood', 'asthma', ',', 'suggested', 'agency', 'could', 'working', 'ban', 'new', 'homes', '.']",32,"['a', 'off', 'a', 'when', 'he', 'in', 'that', 'were', 'a', 'of', 'to', 'and', 'that', 'the', 'be', 'to', 'them', 'in']",18,0.36,
Sentence 15,49,"['Trumka', 'later', 'clarified', 'statement', ',', 'saying', 'agency', '“', 'looking', 'go', 'anyone', '’', 'homes', 'take', 'away', 'items', 'already', 'there.', '”', 'New', 'York', 'first', 'state', 'pass', 'law', ',', 'cities', 'led', 'way', '.']",30,"['his', 'the', 'is', 'not', 'to', 'into', 's', 'and', 'that', 'are', 'While', 'is', 'the', 'to', 'such', 'a', 'other', 'have', 'the']",19,0.39,
Sentence 16,21,"['2019', ',', 'Berkeley', 'became', 'first', 'US', 'city', 'pass', 'code', 'banning', 'natural', 'gas', 'hookups', 'new', 'buildings', '.']",16,"['In', 'the', 'to', 'a', 'in']",5,0.24,
Sentence 17,19,"['cities', ',', 'including', 'San', 'Francisco', '2020', 'New', 'York', 'City', '2021', ',', 'quickly', 'followed', 'suit', '.']",15,"['Other', 'in', 'and', 'in']",4,0.21,
Sentence 18,14,"['municipalities', 'looking', 'take', 'similar', 'action', 'run', 'brick', 'walls', '.']",9,"['But', 'other', 'to', 'have', 'into']",5,0.36,
Sentence 19,23,"['dozen', 'states', 'GOP-controlled', 'legislatures', 'passed', 'so-called', '“', 'preemption', 'laws', '”', 'prohibit', 'cities', 'banning', 'natural', 'gas', '.']",16,"['More', 'than', 'a', 'with', 'have', 'that', 'from']",7,0.3,
Sentence 20,81,"['statement', ',', 'Hochul', 'spokesperson', 'Katy', 'Zielinski', 'said', 'new', 'budget', '“', 'protect', 'families', 'residents', ',', 'putting', 'New', 'York', 'trajectory', 'cleaner', ',', 'healthier', 'future.', '”', 'Alex', 'Beauchamp', ',', 'northeast', 'region', 'director', 'Food', '&', 'Water', 'Watch', ',', 'environment', 'non-profit', 'focuses', 'food', 'water', 'issues', ',', 'called', 'deal', '“', 'historic', 'step', ',', '”', 'said', 'state', 'moving', '“', 'slowly', '”', 'climate', 'action', '.']",57,"['In', 'a', 'the', 'will', 'our', 'and', 'our', 'while', 'on', 'to', 'a', 'the', 'at', 'an', 'that', 'on', 'and', 'the', 'a', 'but', 'the', 'is', 'too', 'on']",24,0.3,
Sentence 21,45,"[""'re"", 'taking', 'away', 'gas', 'stove', ',', 'regulator', 'tells', 'CNN', '“', 'New', 'Yorkers', 'resisting', 'fossil', 'fuels', 'everywhere', 'pop', ',', 'power', 'plants', 'pollute', 'air', 'pipelines', 'put', 'communities', 'harm', '’', 'way', '.']",29,"['We', 'not', 'your', 'are', 'they', 'up', 'from', 'the', 'that', 'our', 'to', 'the', 'that', 'our', 'in', 's']",16,0.36,
Sentence 22,14,"['buildings', 'part', 'solution', ',', '”', 'Beauchamp', 'said', '.']",8,"['Now', 'can', 'be', 'a', 'of', 'that']",6,0.43,
