Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,40,"['DeSantis', 'signs', 'sweeping', 'anti-ESG', 'legislation', 'Florida', 'Florida', 'governor', 'Ron', 'DeSantis', 'signed', 'law', 'Tuesday', 'bill', 'barring', 'state', 'officials', 'investing', 'public', 'money', 'promote', 'environmental', ',', 'social', 'governance', 'goals', ',', 'prohibiting', 'ESG', 'bond', 'sales', '.']",32,"['in', 'into', 'on', 'a', 'from', 'to', 'and', 'and']",8,0.2,
Sentence 2,30,"['bill', 'one', 'furthest-reaching', 'efforts', 'yet', 'U.S.', 'Republicans', 'sustainable', 'investing', 'efforts', ',', 'clear', 'political', 'message', 'DeSantis', ',', 'likely', 'presidential', 'candidate', '.']",20,"['The', 'is', 'of', 'the', 'by', 'against', 'and', 'a', 'from', 'a']",10,0.33,
Sentence 3,18,"['Florida', ""'s"", 'law', 'creates', 'questions', 'operate', 'practice', ',', 'analysts', 'said', '.']",11,"['now', 'some', 'of', 'how', 'it', 'will', 'in']",7,0.39,
Sentence 4,43,"['Isla', 'Binnie', 'Ross', 'Kerber', '(', 'Reuters', ')', '-', 'Florida', 'governor', 'Ron', 'DeSantis', 'signed', 'law', 'Tuesday', 'bill', 'barring', 'state', 'officials', 'investing', 'public', 'money', 'promote', 'environmental', ',', 'social', 'governance', 'goals', ',', 'prohibiting', 'ESG', 'bond', 'sales', '.']",34,"['By', 'and', 'into', 'on', 'a', 'from', 'to', 'and', 'and']",9,0.21,
Sentence 5,30,"['bill', 'one', 'furthest-reaching', 'efforts', 'yet', 'U.S.', 'Republicans', 'sustainable', 'investing', 'efforts', ',', 'clear', 'political', 'message', 'DeSantis', ',', 'likely', 'presidential', 'candidate', '.']",20,"['The', 'is', 'of', 'the', 'by', 'against', 'and', 'a', 'from', 'a']",10,0.33,
Sentence 6,33,"['Republicans', ',', 'including', 'energy-producing', 'states', ',', 'say', 'many', 'executives', 'investors', 'lost', 'focus', 'returns', 'take', 'growing', 'account', 'issues', 'like', 'climate', 'change', 'workforce', 'diversity', '.']",23,"['some', 'from', 'and', 'have', 'their', 'on', 'as', 'they', 'of', 'and']",10,0.3,
Sentence 7,9,"['``', 'want', 'act', 'fiduciaries', '.']",5,"['We', 'them', 'to', 'as']",4,0.44,
Sentence 8,25,"['want', 'engaged', 'ideological', 'joyrides', ',', ""''"", 'said', 'DeSantis', 'signed', 'bill', 'webcast', 'event', '.']",13,"['We', 'do', 'not', 'them', 'on', 'these', 'just', 'before', 'he', 'the', 'at', 'a']",12,0.48,
Sentence 9,23,"['Analysts', 'said', 'legislation', 'goes', 'state', 'anti-ESG', 'bills', ',', 'even', 'business', 'groups', 'worry', 'efforts', 'pose', 'financial', 'risks', '.']",17,"['the', 'further', 'than', 'other', 'as', 'the']",6,0.26,
Sentence 10,18,"['Florida', ""'s"", 'law', 'creates', 'questions', 'operate', 'practice', ',', 'analysts', 'said', '.']",11,"['now', 'some', 'of', 'how', 'it', 'will', 'in']",7,0.39,
Sentence 11,37,"['instance', ',', 'fund', 'managers', 'working', 'agencies', 'like', 'state', ""'s"", 'big', 'pension', 'fund', 'would', 'include', 'disclaimers', 'communications', 'portfolio', 'companies', 'make', 'clear', 'reflect', 'Floridians', ""'"", 'views', '.']",25,"['For', 'for', 'the', 'have', 'to', 'in', 'some', 'with', 'to', 'they', 'do', 'not']",12,0.32,
Sentence 12,23,"['Fund', 'managers', ""n't"", 'include', 'enough', 'disclaimers', 'could', 'face', 'regulatory', 'action', ',', 'said', 'Joshua', 'Lichtenstein', 'law', 'firm', 'Ropes', '&', 'Gray', '.']",20,"['that', 'do', 'of']",3,0.13,
Sentence 13,25,"[',', 'added', ',', '``', ""'s"", 'oddity', 'say', ""'re"", 'talking', 'behalf', 'clients', '.', ""''""]",13,"['But', 'he', 'It', 'an', 'to', 'you', 'only', 'on', 'of', 'some', 'of', 'your']",12,0.48,
Sentence 14,35,"['law', 'also', 'outlaws', 'sale', 'ESG', 'bonds', ',', 'popular', 'way', 'fund', 'renewable', 'energy', 'projects', 'lower', 'debt', 'costs', 'borrowers', 'meet', 'gender', 'diversity', 'greenhouse', 'gas', 'emissions', 'targets', '.']",25,"['The', 'the', 'of', 'a', 'to', 'or', 'for', 'if', 'they', 'or']",10,0.29,
