Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,14,"['Vanderpump', 'Rules', 'Scandoval', 'Finale', 'Trailer', 'Leak', 'Investigated', 'Bravo', 'leak', '?']",10,"['by', 'Who', 'is', 'the']",4,0.29,
Sentence 2,17,"['post', 'Vanderpump', 'Rules', 'Scandoval', 'Finale', 'Trailer', 'Leak', 'Investigated', 'Bravo', 'appeared', 'first', 'Reality', 'Tea', '.']",14,"['The', 'by', 'on']",3,0.18,
Sentence 3,12,"['Scandoval', '’', 'scandal', 'afoot', 'Vanderpump', 'Rules', '.']",7,"['isn', 't', 'the', 'only', 'on']",5,0.42,
Sentence 4,7,"['…', 'leak', '!']",3,"['Now', 'we', 'have', 'a']",4,0.57,
Sentence 5,8,"['Bravo', 'big', 'mad', ',', 'guys', '.']",6,"['is', 'you']",2,0.25,
Sentence 6,20,"['Pump', 'Rules', 'footage', 'final', 'episode', 'season', 'came', 'gave', 'consent', '.']",10,"['Some', 'of', 'the', 'from', 'the', 'of', 'the', 'out', 'before', 'they']",10,0.5,
Sentence 7,14,"['know', 'important', 'consent', 'today', '’', 'world', '.']",7,"['And', 'we', 'all', 'how', 'is', 'in', 's']",7,0.5,
Sentence 8,23,"['’', 'excited', 'new', 'series', ',', 'Law', '&', 'Order', ':', 'VPR', '(', 'enter', 'appropriate', 'sound', 'effects', ')', '.']",17,"['I', 'm', 'very', 'about', 'this', 'here']",6,0.26,
Sentence 9,23,"['According', 'RadarOnline', ',', 'investigation', 'launched', 'find', 'dastardly', 'person', 'behind', 'horrible', 'blight', 'entertainment', 'industry', '.']",14,"['to', 'an', 'has', 'been', 'to', 'the', 'this', 'on', 'the']",9,0.39,
Sentence 10,29,"['’', 'surprised', 'Lisa', 'Rinna', 'John', 'Mellencamp', '’', 'daughter', '’', 'released', 'joint', 'statement', 'saying', 'Lisa', 'Vanderpump', '’', 'dirty', 'work', '.']",19,"['I', 'm', 'and', 's', 'haven', 't', 'a', 'it', 'was', 's']",10,0.34,
Sentence 11,14,"['cat', 'let', 'bag', ',', 'Bravo', 'howling', '.']",7,"['Because', 'the', 'was', 'out', 'of', 'the', 'is']",7,0.5,
