Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,54,"['Curvy', 'mermaid', 'statue', 'Italy', 'makes', 'viral', 'splash', 'residents', 'debate', ""'s"", ""'vulgar"", ""'"", ""'beautiful"", ""'"", '|', 'Fox', 'News', 'cheeky', 'buxom', 'mermaid', 'statue', 'created', 'honor', 'Italian', 'Nobel', 'Prize', 'winner', 'appeared', 'confuse', 'residents', 'small', 'port', 'city', 'rest', 'world', '.']",36,"['in', 'a', 'as', 'if', 'it', 'or', 'A', 'and', 'to', 'an', 'has', 'to', 'of', 'a', 'and', 'the', 'of', 'the']",18,0.33,
Sentence 2,2,"['Factset', '.']",2,[],0,0.0,
Sentence 3,8,"['Powered', 'implemented', 'FactSet', 'Digital', 'Solutions', '.']",6,"['and', 'by']",2,0.25,
Sentence 4,3,"['Legal', 'Statement', '.']",3,[],0,0.0,
Sentence 5,10,"['Mutual', 'Fund', 'ETF', 'data', 'provided', 'Refinitiv', 'Lipper', '.']",8,"['and', 'by']",2,0.2,
Sentence 6,8,"['Fox', 'News', 'Flash', 'top', 'headlines', '.']",6,"['are', 'here']",2,0.25,
Sentence 7,8,"['Check', ""'s"", 'clicking', 'Foxnews.com', '.']",5,"['out', 'what', 'on']",3,0.38,
Sentence 8,31,"['voluptuous', 'mermaid', 'statue', 'southern', 'Italy', 'making', 'people', 'double', 'take', 'city', 'officials', 'finished', 'piece', '’', 'installation', 'near', 'children', ""'s"", 'play', 'area', '.']",21,"['A', 'in', 'is', 'do', 'a', 'as', 'have', 'the', 's', 'a']",10,0.32,
Sentence 9,56,"['statue', ',', 'sculpted', 'IISS', 'Luigi', 'Rosso', 'art', 'high', 'school', 'reportedly', 'meant', 'honor', 'Rita', 'Levi-Montalcini', ',', 'late', 'Italian', 'senator', 'Nobel', 'laureate', ',', 'erected', 'Puglia', 'region', ',', 'according', 'Monopoli', 'Times', ',', 'local', 'news', 'outlet', 'covers', 'events', 'southern', 'Italy', '.']",37,"['The', 'which', 'was', 'by', 'the', 'and', 'is', 'to', 'a', 'and', 'has', 'been', 'in', 'the', 'to', 'The', 'a', 'that', 'in']",19,0.34,
Sentence 10,55,"['Students', 'IISS', 'Luigi', 'Rosso', 'art', 'high', 'school', 'Monopoli', 'crafted', 'cheeky', 'buxom', 'mermaid', 'statue', 'artwork', 'erected', 'Piazza', 'Rita', 'Levi', 'Montalcini', '–', 'new', 'town', 'square', 'named', 'famous', 'senator', 'Bari', ',', 'port', 'city', 'province', 'within', 'Monopoli', 'township', 'Puglia', '.']",36,"['of', 'the', 'in', 'the', 'and', 'and', 'the', 'has', 'been', 'at', 'the', 'a', 'after', 'the', 'in', 'a', 'and', 'the', 'of']",19,0.35,
Sentence 11,62,"['TEXAS', 'MUSEUM', 'RETURN', 'STOLEN', 'ROMAN', 'BUST', 'WOMAN', 'BOUGHT', 'GOODWILL', '$', '35', 'Photos', 'snapped', 'Monopoli', 'Times', 'square', '’', 'inauguration', ',', 'uploaded', 'Twitter', 'Facebook', ',', 'show', 'cross-armed', 'mermaid', 'statue', 'sitting', 'stone', 'pillar', 'plaque', 'referencing', 'Comune', 'di', 'Monopoli', '–', 'City', 'Monopoly', 'English', '.']",40,"['TO', 'AFTER', 'IT', 'AT', 'FOR', 'by', 'The', 'before', 'the', 's', 'which', 'were', 'to', 'and', 'the', 'on', 'a', 'with', 'a', 'the', 'of', 'in']",22,0.35,
