Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,35,"['‘', 'Going', 'Fly', '’', ':', 'DeSantis', 'Signs', 'Far-Reaching', 'Anti-ESG', 'Bill', 'Law', 'Florida', 'governor', 'Ron', 'DeSantis', 'signed', 'one', 'extensive', 'anti-ESG', 'bills', 'country', 'law', 'Tuesday', '.']",24,"['Not', 'to', 'Here', 'into', 'of', 'the', 'most', 'in', 'the', 'into', 'on']",11,0.31,
Sentence 2,44,"['Florida', 'Governor', 'Ron', 'DeSantis', 'signed', 'one', 'extensive', 'anti-ESG', 'bills', 'country', 'law', 'Tuesday', ',', 'barring', 'managers', 'state', 'publicly', 'controlled', 'funds', 'considering', 'environmental', ',', 'social', 'justice', ',', 'governance', 'factors', 'making', 'investment', 'decisions', '.']",31,"['of', 'the', 'most', 'in', 'the', 'into', 'on', 'the', 'of', 'or', 'from', 'and', 'when']",13,0.3,
Sentence 3,42,"['Government', 'Corporate', 'Activism', 'Act', 'requires', 'various', 'state', 'actors', ',', 'including', 'chief', 'financial', 'officer', ',', 'state', 'agencies', ',', 'state', 'retirement', 'fund', 'properly', 'prioritize', 'financial', 'risk', 'return', ',', 'pecuniary', 'factors', ',', 'political', 'considerations', '.']",32,"['The', 'and', 'that', 'the', 'and', 'the', 'and', 'or', 'over', 'any']",10,0.24,
Sentence 4,9,"['also', 'prohibits', 'sale', 'ESG', 'bonds', '.']",6,"['It', 'the', 'of']",3,0.33,
Sentence 5,25,"['Local', 'governments', 'impacted', 'noteworthy', 'degree', 'required', 'stop', 'promoting', 'environmental', 'social', 'goals', 'investment', 'decisions', '.']",14,"['are', 'to', 'a', 'as', 'they', 'too', 'are', 'to', 'and', 'through', 'their']",11,0.44,
Sentence 6,6,"['Municipalities', 'also', 'hold', 'ESG', 'bonds', '.']",6,[],0,0.0,
Sentence 7,21,"['move', 'follows', 'Biden', '’', 'veto', 'congressional', 'effort', 'disapprove', 'practice', 'federal', 'level', '.']",12,"['The', 's', 'of', 'a', 'to', 'of', 'the', 'at', 'the']",9,0.43,
Sentence 8,17,"['GOP', 'governors', 'signaled', 'would', 'fight', 'ESG', 'respective', 'states', '.']",9,"['they', 'do', 'what', 'they', 'can', 'to', 'in', 'their']",8,0.47,
Sentence 9,21,"['Florida', 'joins', 'Kentucky', 'West', 'Virginia', ',', 'two', 'first', 'act', 'comprehensive', 'way', '.']",12,"['now', 'and', 'who', 'were', 'of', 'the', 'to', 'in', 'a']",9,0.43,
Sentence 10,9,"['“', 'want', 'act', 'fiduciaries', '.']",5,"['We', 'them', 'to', 'as']",4,0.44,
Sentence 11,22,"['want', 'engaged', 'ideological', 'joyrides', ',', '”', 'explained', 'DeSantis', 'speech', 'coinciding', 'signing', '.']",12,"['We', 'do', 'not', 'them', 'on', 'these', 'at', 'a', 'with', 'the']",10,0.45,
Sentence 12,15,"['“', 'want', 'use', 'economic', 'power', 'impose', 'agenda', 'society', '.']",9,"['They', 'to', 'to', 'this', 'on', 'our']",6,0.4,
Sentence 13,40,"['think', 'Florida', ',', 'going', 'fly', 'here.', '”', 'law', 'also', 'prevents', 'banks', ',', 'financial', 'institutions', ',', 'government', 'contractors', 'discriminating', 'individuals', 'organizations', 'account', 'political', 'views', '.']",24,"['And', 'we', 'in', 'that', 'is', 'not', 'to', 'The', 'other', 'and', 'from', 'against', 'and', 'on', 'of', 'their']",16,0.4,
Sentence 14,39,"['example', ',', 'would', 'ban', 'banks', 'applying', '“', 'social', 'credit', 'score', '”', 'denying', 'services', 'people', 'based', 'religious', 'beliefs', 'views', 'Second', 'Amendment', ',', 'illegal', 'immigration', ',', 'non-renewable', 'energy', 'sources', '.']",28,"['For', 'this', 'from', 'a', 'and', 'to', 'on', 'or', 'on', 'the', 'or']",11,0.28,
Sentence 15,48,"['“', '’', 'actually', 'hear', 'folks', 'today', '’', 'kind', 'caught', 'morass', '’', 'discriminated', 'financial', 'institutions', ',', 'basically', '’', 'toeing', 'ideological', 'line', ',', '”', 'DeSantis', 'said', '.']",25,"['You', 'll', 'from', 'some', 'who', 've', 'of', 'been', 'up', 'in', 'this', 'where', 'they', 've', 'been', 'against', 'by', 'just', 'because', 'they', 're', 'not', 'the']",23,0.48,
Sentence 16,36,"['law', 'follows', 'actions', 'governor', 'taken', '“', 'woke', '”', 'corporations', ',', 'including', 'Florida', '’', 'decision', 'pull', '$', '2', 'billion', 'BlackRock', ',', 'leading', 'pro-ESG', 'charge', '.']",24,"['The', 'on', 'other', 'the', 'has', 'against', 's', 'to', 'from', 'which', 'is', 'the']",12,0.33,
Sentence 17,29,"['Also', 'week', ',', 'state', 'politicians', 'across', 'country', 'devised', 'new', 'ways', 'putting', 'pressure', 'corporations', 'well', 'Biden', 'administration', 'enables', '.']",18,"['this', 'from', 'the', 'of', 'on', 'these', 'as', 'as', 'a', 'that', 'them']",11,0.38,
Sentence 18,25,"['Nineteen', 'attorneys', 'general', 'sent', 'letter', 'JPMorgan', 'Chase', 'CEO', 'Jamie', 'Dimon', 'warning', 'organization', 'stop', 'de-banking', 'organizations', 'disagree', '.']",17,"['a', 'to', 'him', 'and', 'his', 'to', 'they', 'with']",8,0.32,
Sentence 19,27,"['Kentucky', 'attorney', 'general', 'Daniel', 'Cameron', 'said', 'statement', 'National', 'Review', 'leading', 'effort', 'stand', 'rights', 'Kentuckians', '.']",15,"['in', 'a', 'to', 'that', 'he', 'is', 'this', 'to', 'up', 'for', 'the', 'of']",12,0.44,
Sentence 20,36,"['“', 'Chase', 'call', '‘', 'inclusive', '’', 'say', '‘', 'opposes', 'discrimination', 'form', ',', '’', 'simultaneously', 'disenfranchising', 'clients', 'religious', 'political', 'differences', ',', '”', 'Cameron', 'said', '.']",24,"['can', 'not', 'itself', 'and', 'that', 'it', 'in', 'any', 'while', 'its', 'over', 'and']",12,0.33,
