Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,38,"['WATCH', ':', 'Katy', 'Perry', ""'s"", 'Adam', 'Lambert', 'American', 'Idol', 'Throwback', 'catch', 'Katy', 'Perry', ""'s"", 'Adam', 'Lambert', 'season', '8', 'throwback', 'performed', '``', 'Ca', ""n't"", 'Stop', 'Rain', ""''"", 'American', 'Idol', 'stage', '?']",30,"['Did', 'you', 'before', 'he', 'I', 'the', 'on', 'the']",8,0.21,
Sentence 2,3,"['Watch', '.']",2,['here'],1,0.33,
Sentence 3,15,"['partners', 'use', 'cookies', 'Store', 'and/or', 'access', 'information', 'device', '.']",9,"['We', 'and', 'our', 'to', 'on', 'a']",6,0.4,
Sentence 4,23,"['partners', 'use', 'data', 'Personalised', 'ads', 'content', ',', 'ad', 'content', 'measurement', ',', 'audience', 'insights', 'product', 'development', '.']",16,"['We', 'and', 'our', 'for', 'and', 'and', 'and']",7,0.3,
Sentence 5,16,"['example', 'data', 'processed', 'may', 'unique', 'identifier', 'stored', 'cookie', '.']",9,"['An', 'of', 'being', 'be', 'a', 'in', 'a']",7,0.44,
Sentence 6,21,"['partners', 'may', 'process', 'data', 'part', 'legitimate', 'business', 'interest', 'without', 'asking', 'consent', '.']",12,"['Some', 'of', 'our', 'your', 'as', 'a', 'of', 'their', 'for']",9,0.43,
Sentence 7,26,"['view', 'purposes', 'believe', 'legitimate', 'interest', ',', 'object', 'data', 'processing', 'use', 'vendor', 'list', 'link', '.']",14,"['To', 'the', 'they', 'they', 'have', 'for', 'or', 'to', 'to', 'this', 'the', 'below']",12,0.46,
Sentence 8,15,"['consent', 'submitted', 'used', 'data', 'processing', 'originating', 'website', '.']",8,"['The', 'will', 'only', 'be', 'for', 'from', 'this']",7,0.47,
Sentence 9,31,"['would', 'like', 'change', 'settings', 'withdraw', 'consent', 'time', ',', 'link', 'privacy', 'policy', 'accessible', 'home', 'page', '..']",15,"['If', 'you', 'to', 'your', 'or', 'at', 'any', 'the', 'to', 'do', 'so', 'is', 'in', 'our', 'from', 'our']",16,0.52,
Sentence 10,49,"['Manage', 'Settings', 'Allow', 'Necessary', 'Cookies', '&', 'Continue', 'Continue', 'Recommended', 'Cookies', 'Season', '8', 'alum', 'Adam', 'Lambert', 'returned', 'American', 'Idol', 'Sunday', '(', 'April', '30', ')', 'mentor', 'Top', '12', 'contestants', 'rehearsed', 'songs', 'artists', 'inducted', 'Rock', '‘', 'n', 'Roll', 'Hall', 'Fame', '.']",38,"['with', 'to', 'on', 'to', 'the', 'as', 'they', 'by', 'into', 'the', 'of']",11,0.22,
Sentence 11,26,"['Please', 'enable', 'JavaScript', 'singer', 'also', 'performed', '“', '’', 'Stand', 'Rain', '”', 'song', 'originally', 'recorded', 'Ann', 'Peebles', '1973', '.']",18,"['The', 'I', 'Can', 't', 'The', 'a', 'by', 'in']",8,0.31,
Sentence 12,32,"['’', 'Queen', 'frontman', '’', 'new', 'album', 'covers', 'High', 'Drama.Before', 'Adam', 'took', 'stage', ',', 'Host', 'Ryan', 'Seacrest', 'introduced', 'standing', 'judges', 'panel', '.']",21,"['It', 's', 'from', 'the', 's', 'of', 'the', 'him', 'while', 'by', 'the']",11,0.34,
Sentence 13,27,"['Katy', 'Perry', 'sat', 'back', 'turned', 'camera', ',', 'wearing', 'white', 'cape', '“', 'Adam', 'Lambert', '”', 'embroidered', 'red', 'back', '.']",18,"['with', 'her', 'to', 'the', 'a', 'with', 'in', 'on', 'the']",9,0.33,
Sentence 14,20,"['(', 'ABC/Eric', 'McCandless', ')', 'RYAN', 'SEACREST', ',', 'ADAM', 'LAMBERTA', 'cool', 'throwbackOld', 'school', 'American', 'Idol', 'fans', 'may', 'remember', 'cape', '.']",19,['that'],1,0.05,
Sentence 15,15,"['’', 'shout', 'Season', '8', 'Top', '3', 'results', 'show', '.']",9,"['It', 's', 'a', 'out', 'to', 'the']",6,0.4,
Sentence 16,52,"['Katy', 'stopped', 'American', 'Idol', 'night', 'guest', 'performer', 'sing', 'new', 'single', 'time', ',', '“', 'Waking', 'Las', 'Vegas', '”', '2008', 'album', ',', 'One', 'Boys.At', 'top', 'performance', ',', 'young', 'singer', 'back', 'audience', '.']",30,"['by', 'that', 'as', 'a', 'to', 'her', 'at', 'the', 'Up', 'in', 'from', 'her', 'of', 'the', 'the', 'of', 'her', 'the', 'had', 'her', 'to', 'the']",22,0.42,
Sentence 17,8,"[',', 'cape', '!']",3,"['And', 'there', 'it', 'was', 'the']",5,0.62,
Sentence 18,20,"['clutched', 'sides', 'arms', 'spread', 'wide', ',', 'everyone', 'audience', 'got', 'message', '.']",11,"['She', 'both', 'with', 'her', 'so', 'that', 'in', 'the', 'the']",9,0.45,
Sentence 19,5,"['Team', 'Adam', '.']",3,"['She', 'was']",2,0.4,
Sentence 20,20,"['Katy', 'turned', 'around', 'performed', 'song', 'bevy', 'Las', 'Vegas', 'like', 'showgirls', 'dancing', 'behind', '.']",13,"['then', 'and', 'the', 'with', 'a', 'of', 'her']",7,0.35,
Sentence 21,23,"['(', 'ABC/Eric', 'McCandless', ')', 'KATY', 'PERRYAs', 'turned', ',', 'two', 'knew', 'Hollywood', 'either', 'one', 'became', 'famous', '.']",16,"['it', 'out', 'the', 'each', 'other', 'in', 'before']",7,0.3,
Sentence 22,57,"['Adam', 'would', 'go', 'make', 'Top', '2', 'end', 'season', 'runner-up', 'winner', 'Kris', 'Allen.What', 'throwback', '!', '“', 'owe', 'Idol', 'big', 'debt', 'gratitude', '”', 'Adam', '’', 'high', 'octane', 'performance', ',', 'shared', 'Ryan', 'returns', 'American', 'Idol', 'time', 'time', '.']",35,"['on', 'to', 'the', 'and', 'the', 'as', 'the', 'to', 'a', 'I', 'a', 'of', 'After', 's', 'he', 'with', 'about', 'why', 'he', 'to', 'and', 'again']",22,0.39,
Sentence 23,20,"['Adam', 'tall', 'platform', 'boots', ',', 'Ryan', 'jokingly', 'stood', 'box', 'interview', '.']",11,"['was', 'so', 'in', 'his', 'that', 'on', 'a', 'to', 'him']",9,0.45,
Sentence 24,13,"['Adam', 'said', ',', '“', 'owe', 'Idol', 'big', 'debt', 'gratitude', '.']",10,"['I', 'a', 'of']",3,0.23,
Sentence 25,22,"['’', 'Idol', '’', 'think', '’', 'right', '.']",7,"['If', 'it', 'weren', 't', 'for', 'I', 'don', 't', 'I', 'd', 'be', 'here', 'with', 'you', 'now']",15,0.68,
Sentence 26,13,"['’', 'think', '’', 'touring', 'world', '.']",6,"['I', 'don', 't', 'I', 'd', 'be', 'the']",7,0.54,
