Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,45,"['Tucker', 'Carlson', 'text', '‘', 'white', 'men', 'fight', '’', 'alarmed', 'Fox', 'board', 'members', '-', 'Washington', 'Post', 'board', 'overseeing', 'Fox', 'News', 'alarmed', 'Tucker', 'Carlson', ""'s"", 'text', 'message', 'planned', 'hire', 'law', 'firm', 'investigate', 'behavior', '.']",32,"['on', 'how', 'The', 'The', 'was', 'so', 'by', 'that', 'it', 'to', 'a', 'to', 'his']",13,0.29,
Sentence 2,52,"['eve', 'expected', 'closely', 'watched', 'defamation', 'trial', 'generation', ',', 'board', 'Fox', 'Corp.', 'last', 'month', 'reviewed', 'text', 'message', 'Tucker', 'Carlson', ',', 'prime-time', 'star', 'Fox', 'News', ',', 'sent', 'one', 'producers', 'early', '2021', '.']",30,"['On', 'the', 'of', 'what', 'was', 'to', 'be', 'the', 'most', 'in', 'a', 'the', 'of', 'a', 'that', 'a', 'on', 'had', 'to', 'of', 'his', 'in']",22,0.42,
Sentence 3,83,"['message', ',', 'described', 'watching', 'video', 'Donald', 'Trump', 'supporters', 'beating', 'someone', 'referred', '“', 'Antifa', 'kid.', '”', 'Carlson', 'wrote', 'conflicting', 'emotions', ',', 'hinting', 'dismay', 'found', '“', 'rooting', 'mob', 'man', ',', 'hoping', '’', 'hit', 'harder', ',', 'kill', 'him.', '”', 'startling', 'passage', ',', 'Carlson', 'asserted', 'flatly', '“', 'jumping', 'guy', 'like', 'dishonorable', 'obviously', '.']",49,"['In', 'the', 'he', 'himself', 'a', 'of', 'up', 'he', 'to', 'as', 'an', 'of', 'his', 'at', 'his', 'that', 'he', 'had', 'himself', 'for', 'the', 'against', 'the', 'they', 'd', 'him', 'But', 'in', 'the', 'most', 'that', 'a', 'that', 'is']",34,0.41,
Sentence 4,54,"['’', 'white', 'men', 'fight.', '”', 'seeing', 'message', ',', 'board', 'alerted', 'Fox', 'executives', 'planned', 'retain', 'law', 'firm', 'investigate', 'Carlson', '’', 'behavior', ',', 'according', 'person', 'familiar', 'matter', 'spoke', 'condition', 'anonymity', 'describe', 'sensitive', 'discussions', '.']",32,"['It', 's', 'not', 'how', 'After', 'the', 'the', 'that', 'it', 'to', 'a', 'to', 's', 'to', 'a', 'with', 'the', 'who', 'on', 'the', 'of', 'to']",22,0.41,
Sentence 5,52,"['text', 'message', ',', 'first', 'reported', 'Tuesday', 'night', 'New', 'York', 'Times', ',', 'added', 'cascading', 'set', 'concerns', 'Carlson', 'within', 'Fox', 'News', 'led', 'company', 'fire', 'last', 'week', ',', 'according', 'several', 'people', 'familiar', 'internal', 'deliberations', 'around', 'departure', 'network', '.']",35,"['The', 'by', 'the', 'to', 'a', 'of', 'about', 'that', 'the', 'to', 'him', 'to', 'with', 'the', 'his', 'from', 'the']",17,0.33,
Sentence 6,60,"['Washington', 'Post', 'reported', 'last', 'week', 'network', 'co-founder', 'Rupert', 'Murdoch', 'also', 'grown', 'concerned', 'Carlson', '’', 'increasingly', 'far-right', 'commentary', '—', 'including', 'disparagement', 'U.S.', 'support', 'Ukraine', '—', 'executives', 'noted', 'harsh', 'critiques', 'Fox', 'management', 'private', 'communications', ',', 'including', 'sexist', 'vulgar', 'language', 'aimed', 'female', 'executive', '.']",41,"['The', 'that', 'had', 'about', 's', 'his', 'of', 'for', 'and', 'that', 'had', 'his', 'of', 'in', 'his', 'some', 'and', 'at', 'a']",19,0.32,
Sentence 7,10,"['Fox', 'Corp.', 'spokesperson', 'declined', 'comment', 'late', 'Tuesday', '.']",8,"['A', 'to']",2,0.2,
Sentence 8,12,"['representative', 'Carlson', 'respond', 'messages', 'seeking', 'comment', '.']",7,"['A', 'for', 'did', 'not', 'to']",5,0.42,
Sentence 9,36,"['Although', 'text', ',', 'acquired', 'discovery', 'process', 'Dominion', 'Voting', 'Systems', '’', 'defamation', 'case', 'Fox', ',', 'remains', 'redacted', 'court', 'exhibits', ',', 'board', 'members', 'feared', 'could', 'become', 'public', 'trial', '.']",27,"['the', 'during', 'the', 'of', 'against', 'from', 'it', 'during', 'the']",9,0.25,
Sentence 10,18,"['Days', 'later', ',', 'April', '18', ',', 'Fox', 'settled', 'case', 'Dominion', '$', '787.5', 'million', '.']",14,"['on', 'the', 'with', 'for']",4,0.22,
Sentence 11,35,"['lengthy', 'message', 'sent', 'Jan.', '7', ',', '2021', ',', 'hours', 'violent', 'mob', 'stormed', 'Capitol', ',', 'Carlson', 'went', ':', '“', 'really', 'wanted', 'hurt', 'kid', '.']",23,"['In', 'his', 'in', 'the', 'after', 'a', 'the', 'on', 'I', 'them', 'to', 'the']",12,0.34,
Sentence 12,5,"['could', 'taste', '.']",3,"['I', 'it']",2,0.4,
Sentence 13,20,"['somewhere', 'deep', 'brain', ',', 'alarm', 'went', ':', '’', 'good', '.']",10,"['Then', 'in', 'my', 'an', 'off', 'this', 'isn', 't', 'for', 'me']",10,0.5,
Sentence 14,13,"['’', 'becoming', 'something', '’', 'want', '.']",6,"['I', 'm', 'I', 'don', 't', 'to', 'be']",7,0.54,
Sentence 15,8,"['Antifa', 'creep', 'human', '.']",4,"['The', 'is', 'a', 'being']",4,0.5,
Sentence 16,36,"['Much', 'despise', 'says', ',', 'much', '’', 'sure', '’', 'hate', 'personally', 'knew', ',', '’', 'gloat', 'suffering', '.']",16,"['as', 'I', 'what', 'he', 'and', 'does', 'as', 'I', 'm', 'I', 'd', 'him', 'if', 'I', 'him', 'I', 'shouldn', 't', 'over', 'his']",20,0.56,
Sentence 17,7,"['bothered', '.']",2,"['I', 'should', 'be', 'by', 'it']",5,0.71,
Sentence 18,20,"['remember', 'somewhere', 'somebody', 'probably', 'loves', 'kid', ',', 'would', 'crushed', 'killed', '.']",11,"['I', 'should', 'that', 'this', 'and', 'be', 'if', 'he', 'was']",9,0.45,
Sentence 19,91,"['’', 'care', 'things', ',', 'reduce', 'people', 'politics', ',', 'better', '?', '”', 'message', 'came', 'exchange', 'Carlson', 'referred', 'Trump', '“', 'demonic', 'force', ',', 'destroyer.', '”', 'Though', 'Carlson', 'one', 'main', 'Fox', 'personalities', 'promoting', 'false', 'conspiracy', 'theories', 'Dominion', '’', 'role', '2020', 'election', ',', 'expected', 'would', 'cross-examined', 'Dominion', 'lawyers', 'first', 'week', 'trial', '.']",48,"['If', 'I', 'don', 't', 'about', 'those', 'if', 'I', 'to', 'their', 'how', 'am', 'I', 'than', 'he', 'is', 'The', 'after', 'an', 'in', 'which', 'to', 'as', 'a', 'a', 'was', 'not', 'of', 'the', 'about', 's', 'in', 'the', 'it', 'was', 'that', 'he', 'be', 'by', 'during', 'the', 'of', 'the']",43,0.47,
Sentence 20,28,"['Executives', 'worried', 'private', 'text', 'messages', ',', 'released', 'publicly', 'months', 'prior', ',', 'might', 'play', 'front', 'jury', '.']",16,"['how', 'his', 'some', 'of', 'which', 'had', 'been', 'in', 'the', 'in', 'of', 'a']",12,0.43,
Sentence 21,34,"['Less', 'week', 'Fox', 'settled', 'case', ',', 'Carlson', 'informed', 'phone', 'call', 'Fox', 'News', 'CEO', 'Suzanne', 'Scott', 'network', '“', 'parting', 'ways', '”', '.']",21,"['than', 'a', 'after', 'the', 'was', 'in', 'a', 'from', 'that', 'the', 'was', 'with', 'him']",13,0.38,
Sentence 22,19,"['years', ',', 'Carlson', 'courted', 'kind', 'controversy', 'would', 'gotten', 'lesser-known', 'personality', 'fired', '.']",12,"['For', 'had', 'the', 'of', 'that', 'have', 'a']",7,0.37,
Sentence 23,41,"['subject', 'repeated', 'advertising', 'boycotts', ',', 'attacked', 'immigrants', 'making', 'country', '“', 'poorer', '”', '“', 'dirtier.', '”', 'called', 'white', 'supremacy', '“', 'hoax', '”', 'mocked', 'efforts', 'fight', 'coronavirus', 'pandemic', '.']",27,"['He', 'was', 'the', 'of', 'and', 'he', 'for', 'the', 'and', 'He', 'a', 'and', 'to', 'the']",14,0.34,
Sentence 24,25,"['2020', ',', 'chief', 'writer', 'resigned', 'writer', 'revealed', 'posting', 'racist', 'sexist', 'rants', 'online', 'forum', '.']",14,"['In', 'his', 'after', 'the', 'was', 'to', 'have', 'been', 'and', 'on', 'an']",11,0.44,
