Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,44,"['Trump', ""'s"", 'motion', 'mistrial', 'battery', 'case', 'denied', 'questioning', 'E.', 'Jean', 'Carroll', 'concludes', '|', 'CNN', 'Politics', 'federal', 'judge', 'overseeing', 'civil', 'battery', 'defamation', 'trial', 'involving', 'Donald', 'Trump', 'denied', 'former', 'president', ""'s"", 'motion', 'mistrial', '.']",32,"['for', 'in', 'is', 'as', 'of', 'A', 'a', 'and', 'has', 'the', 'for', 'a']",12,0.27,
Sentence 2,25,"['federal', 'judge', 'overseeing', 'civil', 'battery', 'defamation', 'trial', 'involving', 'Donald', 'Trump', 'denied', 'former', 'president', '’', 'motion', 'mistrial', '.']",17,"['A', 'a', 'and', 'has', 'the', 's', 'for', 'a']",8,0.32,
Sentence 3,64,"['ruling', 'came', 'E.', 'Jean', 'Carroll', ',', 'columnist', 'sued', 'Trump', ',', 'took', 'stand', 'cross-examination', 'session', 'included', 'questions', '“', 'Law', '&', 'Order', 'SVU', '”', 'episode', 'Trump', '’', 'former', 'program', '“', 'Apprentice.', '”', 'Trump', 'argued', 'Judge', 'Lewis', 'Kaplan', 'made', '“', 'pervasive', 'unfair', 'prejudicial', 'rulings', '”', '.']",43,"['The', 'before', 'the', 'who', 'again', 'the', 'for', 'in', 'a', 'that', 'about', 'a', 'and', 's', 'The', 'had', 'that', 'had', 'and', 'against', 'him']",21,0.33,
Sentence 4,52,"['letter', 'filed', 'overnight', 'Monday', ',', 'attorney', 'Joe', 'Tacopina', 'said', 'alternatively', 'would', 'ask', 'Kaplan', '“', 'correct', 'record', 'every', 'instance', 'Court', 'mischaracterized', 'facts', 'case', 'jury', '”', 'provide', 'greater', 'leeway', 'cross', 'examining', 'Carroll', '.']",31,"['In', 'a', 'his', 'he', 'to', 'the', 'for', 'each', 'and', 'in', 'which', 'the', 'has', 'the', 'of', 'this', 'to', 'the', 'or', 'him', 'in']",21,0.4,
Sentence 5,49,"['“', ',', 'despite', 'fact', 'trial', 'testimony', 'underway', 'two', 'days', ',', 'proceedings', 'already', 'replete', 'numerous', 'examples', 'Defendant', '’', 'unfair', 'treatment', 'Court', ',', 'witnessed', 'Jury', ',', '”', 'letter', 'said', '.']",28,"['Here', 'the', 'has', 'been', 'for', 'only', 'the', 'are', 'with', 'of', 's', 'by', 'the', 'most', 'of', 'which', 'has', 'been', 'by', 'the', 'the']",21,0.43,
Sentence 6,70,"['E.', 'Jean', 'Carroll', 'responds', 'Trump', 'attorney', ':', ""'"", ""'m"", 'telling', ',', 'raped', 'whether', 'screamed', ""not'"", 'Carroll', 'sued', 'Trump', ',', 'alleging', 'raped', 'Bergdorf', 'Goodman', 'department', 'store', 'mid-1990s', 'defamed', 'denied', 'claim', ',', 'said', '’', 'type', 'suggested', 'made', 'story', 'boost', 'sales', 'book', '.']",40,"['to', 'I', 'you', 'he', 'me', 'I', 'or', 'he', 'her', 'in', 'the', 'in', 'the', 'and', 'then', 'her', 'when', 'he', 'her', 'she', 'wasn', 't', 'his', 'and', 'she', 'up', 'the', 'to', 'of', 'her']",30,0.43,
Sentence 7,6,"['Trump', 'denied', 'wrongdoing', '.']",4,"['has', 'any']",2,0.33,
Sentence 8,83,"['Among', 'issues', 'raised', 'Tacopina', 'judge', '’', 'ruling', 'restricting', 'Tacopina', 'asking', 'Carroll', 'additional', 'questions', 'efforts', 'Carroll', 'made', 'try', 'obtain', 'security', 'camera', 'footage', 'department', 'store', ',', '“', 'expressing', 'corroborative', 'view', '”', 'one', 'sixth', 'floor', 'department', 'store', 'time', 'alleged', 'assault', ',', 'calling', 'certain', 'lines', 'defense', 'attorney', '’', 'questioning', '“', 'argumentative', '”', 'front', 'jury', '.']",51,"['the', 'by', 'are', 'the', 's', 'from', 'about', 'any', 'to', 'to', 'from', 'the', 'a', 'that', 'there', 'was', 'no', 'on', 'the', 'of', 'the', 'at', 'the', 'of', 'the', 'and', 'of', 'the', 's', 'in', 'of', 'the']",32,0.39,
Sentence 9,20,"['would', 'unusual', 'judge', 'declare', 'mistrial', 'based', 'statements', 'trial', '.']",9,"['It', 'be', 'for', 'the', 'to', 'a', 'on', 'his', 'own', 'during', 'a']",11,0.55,
Sentence 10,19,"['cross-examination', 'Monday', ',', 'Tacopina', 'sought', 'suggest', 'Carroll', 'scarred', 'alleged', 'assault', '.']",11,"['During', 'on', 'to', 'that', 'was', 'not', 'by', 'the']",8,0.42,
