Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,45,"['San', 'Francisco', 'public', 'schools', 'drives', 'parents', 'find', 'alternate', 'options', 'kids', 'bypass', 'school', '’', 'math', 'policy', '|', 'Fox', 'News', 'San', 'Francisco', ""'s"", 'public', 'schools', 'equity-driven', 'math', 'policy', 'led', 'higher', 'income', 'families', 'bypass', 'school', 'policies', 'racial', 'gaps', 'remained', 'largely', 'unchanged', '.']",39,"['to', 'for', 'to', 's', 'to', 'and']",6,0.13,
Sentence 2,2,"['Factset', '.']",2,[],0,0.0,
Sentence 3,8,"['Powered', 'implemented', 'FactSet', 'Digital', 'Solutions', '.']",6,"['and', 'by']",2,0.25,
Sentence 4,3,"['Legal', 'Statement', '.']",3,[],0,0.0,
Sentence 5,10,"['Mutual', 'Fund', 'ETF', 'data', 'provided', 'Refinitiv', 'Lipper', '.']",8,"['and', 'by']",2,0.2,
Sentence 6,23,"['San', 'Francisco', ""'s"", 'public', 'schools', 'equity-driven', 'math', 'policy', 'led', 'higher', 'income', 'families', 'bypass', 'school', 'policies', 'racial', 'gaps', 'remained', 'largely', 'unchanged', '.']",21,"['to', 'and']",2,0.09,
Sentence 7,55,"['San', 'Francisco', 'public', 'school', 'system', '’', 'equity-driven', 'policy', 'barring', 'students', 'taking', 'algebra', 'high', 'school', 'driving', 'families', 'enroll', 'children', 'outside', 'tutoring', 'expensive', 'online', 'courses', 'stay', 'track', '-', 'option', 'available', 'poorer', 'households', '-', 'according', 'education', 'expert', 'spoke', 'Fox', 'News', '.']",38,"['s', 'from', 'before', 'is', 'to', 'their', 'in', 'and', 'to', 'on', 'an', 'not', 'to', 'to', 'an', 'that', 'to']",17,0.31,
Sentence 8,27,"['``', '’', 'one', 'sillier', 'policies', 'remember', ',', ""''"", 'Thomas', 'B.', 'Fordham', 'Institute', ""'s"", 'editorial', 'director', ',', 'Brandon', 'Wright', ',', 'said', '.']",21,"['It', 's', 'of', 'the', 'I', 'can']",6,0.22,
Sentence 9,24,"['``', 'really', 'affluent', 'families', 'sort', 'inconvenienced', 'jump', 'silly', 'hoops', '.']",10,"['It', 'was', 'just', 'the', 'who', 'of', 'were', 'just', 'and', 'had', 'to', 'through', 'all', 'these']",14,0.58,
Sentence 10,12,"['less', 'advantaged', 'kids', '’', 'benefit', '.', ""''""]",7,"['The', 'didn', 't', 'at', 'all']",5,0.42,
