Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,41,"['Kiss', 'Member', 'Went', 'Anti-Trans', 'Rant', 'Hypocrisy', 'Stunning', 'Stanley—who', 'spent', 'better', 'part', 'career', 'wearing', 'genderf', '*', 'ck', 'glam', 'rock', 'makeup—called', 'trans-affirming', 'care', 'kids', '``', 'sad', 'dangerous', 'fad', '.', ""''""]",28,"['A', 'Just', 'on', 'an', 'and', 'the', 'is', 'the', 'of', 'his', 'for', 'a', 'and']",13,0.32,
Sentence 2,26,"['dude', 'played', 'band', 'called', '“', 'Rainbow', ',', '”', 'Kiss', 'member', 'Paul', 'Stanley', 'LGBTQ-friendly', 'days', '.']",15,"['For', 'a', 'who', 'once', 'in', 'a', 'is', 'NOT', 'being', 'very', 'these']",11,0.42,
Sentence 3,43,"['post', 'weekend', ',', 'Stanley—who', 'spent', 'better', 'part', 'career', 'wearing', 'genderf', '*', 'ck', 'glam', 'rock', 'makeup—called', 'trans-affirming', 'care', 'kids', '“', 'sad', 'dangerous', 'fad.', '”', 'Commenters', 'quite', 'swift', 'pointing', 'hypocrisy', '.']",29,"['In', 'a', 'from', 'the', 'the', 'of', 'his', 'for', 'a', 'and', 'were', 'in', 'out', 'the']",14,0.33,
Sentence 4,11,"['Dee', 'Snyder', 'jumping', 'band', 'wagon', '.']",6,"['And', 'now', 'is', 'on', 'the']",5,0.45,
Sentence 5,3,"['halt', '!']",2,['But'],1,0.33,
Sentence 6,6,"['layers', '.']",2,"['There', 'are', 'to', 'this']",4,0.67,
Sentence 7,79,"['divinely', 'silly', 'Stanley', 'logging', 'onto', 'Twitter', 'blast', 'views', 'something', 'authority', 'real', 'stake', 'instead', 'spending', 'afternoon', 'rewatching', 'glam', 'rock', 'masterpiece', 'Velvet', 'Goldmine', ',', '’', 'also', 'quite', 'something', 'considering', 'Stanley', 'came', 'title', 'Gene', 'Simmons-penned', 'Kiss', 'song', '“', 'Christine', 'Sixteen', ',', '”', 'adult', 'man', 'lusting', '16-year-old', 'girl', '.']",45,"['Not', 'only', 'is', 'it', 'that', 'is', 'to', 'out', 'his', 'on', 'he', 'has', 'no', 'on', 'and', 'no', 'in', 'of', 'his', 'the', 'that', 'is', 'it', 's', 'that', 'up', 'with', 'the', 'for', 'the', 'about', 'an', 'after', 'a']",34,0.43,
Sentence 8,7,"['Confirmed', ':', 'God', 'uses', 'they/them', 'pronouns', '.']",7,[],0,0.0,
Sentence 9,31,"['Extremely', 'sad', 'say', ',', 'increasingly', 'people', 'equate', 'trans-affirming', 'care', 'child', 'grooming', ',', 'seems', 'like', '“', 'whoever', 'smelt', 'dealt', '”', 'rules', 'apply', '.']",22,"['to', 'but', 'with', 'who', 'with', 'it', 'the', 'it', 'it']",9,0.29,
Sentence 10,42,"['perhaps', 'commenter', 'said', 'best', ':', '“', '’', 'punching', 'ladder', 'ignorance', ',', 'opposite', 'rock', 'n', '’', 'roll.', '”', 'rock', 'n', '’', 'roll', ',', 'Paul', 'Stanley', '.']",25,"['But', 'this', 'it', 'you', 're', 'down', 'from', 'a', 'of', 'the', 'of', 'Not', 'very', 'of', 'you', 'at', 'all']",17,0.4,
Sentence 11,15,"['Like', 'us', 'Facebook', 'see', 'similar', 'stories', 'Please', 'give', 'overall', 'site', 'rating', ':']",12,"['on', 'to', 'an']",3,0.2,
