Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,47,"['House', 'Democrats', 'Move', 'Force', 'Debt-Limit', 'Increase', 'Default', 'Date', 'Looms', '-', 'New', 'York', 'Times', 'House', 'Democratic', 'leaders', 'quietly', 'planning', 'strategy', 'force', 'debt', 'ceiling', 'increase', 'avert', 'default', 'began', 'taking', 'steps', 'Tuesday', 'deploy', 'secret', 'weapon', '.']",33,"['to', 'a', 'as', 'The', 'who', 'have', 'been', 'a', 'to', 'a', 'to', 'on', 'to', 'their']",14,0.3,
Sentence 2,33,"['Advertisement', 'Supported', 'House', 'Democratic', 'leaders', 'quietly', 'planning', 'strategy', 'force', 'debt', 'ceiling', 'increase', 'avert', 'default', 'began', 'taking', 'steps', 'Tuesday', 'deploy', 'secret', 'weapon', '.']",22,"['by', 'who', 'have', 'been', 'a', 'to', 'a', 'to', 'on', 'to', 'their']",11,0.33,
Sentence 3,19,"['Send', 'friend', 'story', 'subscriber', ',', '10', 'gift', 'articles', 'give', 'month', '.']",11,"['any', 'a', 'As', 'a', 'you', 'have', 'to', 'each']",8,0.42,
Sentence 4,7,"['Anyone', 'read', 'share', '.']",4,"['can', 'what', 'you']",3,0.43,
Sentence 5,91,"['Carl', 'Hulse', 'Reporting', 'Washington', 'clue', 'gambit', 'title', 'otherwise', 'obscure', 'hodgepodge', 'bill', ':', '“', 'Breaking', 'Gridlock', 'Act.', '”', '45-page', 'legislation', ',', 'introduced', 'without', 'fanfare', 'January', 'little-known', 'Democrat', ',', 'Representative', 'Mark', 'DeSaulnier', 'California', ',', 'part', 'confidential', ',', 'previously', 'unreported', ',', 'strategy', 'Democrats', 'plotting', 'months', 'quietly', 'smooth', 'way', 'action', 'Congress', 'avert', 'devastating', 'federal', 'default', 'debt', 'ceiling', 'talks', 'remain', 'deadlocked', '.']",57,"['By', 'from', 'The', 'only', 'to', 'the', 'was', 'in', 'the', 'of', 'the', 'of', 'a', 'The', 'the', 'But', 'the', 'in', 'by', 'a', 'of', 'is', 'of', 'a', 'have', 'been', 'for', 'to', 'the', 'for', 'by', 'to', 'a', 'if']",34,0.37,
Sentence 6,30,"['possible', 'default', 'projected', 'soon', 'June', '1', ',', 'Democrats', 'Tuesday', 'began', 'taking', 'steps', 'deploy', 'secret', 'weapon', 'holding', 'reserve', '.']",18,"['With', 'a', 'now', 'as', 'as', 'on', 'to', 'the', 'they', 'have', 'been', 'in']",12,0.4,
Sentence 7,43,"['started', 'process', 'trying', 'force', 'debt-limit', 'increase', 'bill', 'floor', 'so-called', 'discharge', 'petition', 'could', 'bypass', 'Republican', 'leaders', 'refused', 'raise', 'ceiling', 'unless', 'President', 'Biden', 'agrees', 'spending', 'cuts', 'policy', 'changes', '.']",27,"['They', 'the', 'of', 'to', 'a', 'to', 'the', 'through', 'a', 'that', 'who', 'have', 'to', 'the', 'to', 'and']",16,0.37,
Sentence 8,45,"['“', 'House', 'Democrats', 'working', 'make', 'sure', 'options', 'disposal', 'avoid', 'default', ',', '”', 'Representative', 'Hakeem', 'Jeffries', ',', 'Democrat', 'New', 'York', 'minority', 'leader', ',', 'wrote', 'letter', 'sent', 'colleagues', 'Tuesday', '.']",28,"['are', 'to', 'we', 'have', 'all', 'at', 'our', 'to', 'a', 'of', 'and', 'the', 'in', 'a', 'he', 'to', 'on']",17,0.38,
Sentence 9,21,"['“', 'filing', 'debt', 'ceiling', 'measure', 'brought', 'discharge', 'calendar', 'preserves', 'important', 'option', '.']",12,"['The', 'of', 'a', 'to', 'be', 'up', 'on', 'the', 'an']",9,0.43,
Sentence 10,84,"['time', 'MAGA', 'Republicans', 'act', 'bipartisan', 'manner', 'pay', 'America', '’', 'bills', 'without', 'extreme', 'conditions.', '”', 'emergency', 'rule', 'Democrats', 'introduced', 'Tuesday', ',', 'pro', 'forma', 'session', 'held', 'House', 'recess', ',', 'would', 'start', 'clock', 'process', 'would', 'allow', 'begin', 'collecting', 'signatures', 'soon', 'May', '16', 'petition', ',', 'force', 'action', 'bill', 'majority', 'members', 'sign', '.']",48,"['It', 'is', 'now', 'for', 'to', 'in', 'a', 'to', 's', 'An', 'on', 'during', 'a', 'while', 'the', 'is', 'in', 'the', 'on', 'a', 'that', 'them', 'to', 'as', 'as', 'on', 'such', 'a', 'which', 'can', 'on', 'a', 'if', 'a', 'of', 'on']",36,0.43,
