Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,50,"['FBI', 'file', 'links', 'Joe', 'Biden', ""'criminal"", 'scheme', ""'"", 'per', 'whistleblower', '—', 'Comer', 'subpoenas', 'House', 'Oversight', 'Committee', 'subpoenaed', 'FBI', 'Wednesday', 'file', 'whistleblower', 'said', 'links', 'President', 'Biden', '``', 'criminal', 'scheme', ""''"", 'featuring', '``', 'money', 'policy', 'decisions', ""''"", 'vice', 'presidency', '.']",38,"['to', 'The', 'the', 'for', 'a', 'that', 'a', 'to', 'a', 'for', 'during', 'his']",12,0.24,
Sentence 2,5,"['Thanks', 'contacting', 'us', '.']",4,['for'],1,0.2,
Sentence 3,6,"[""'ve"", 'received', 'submission', '.']",4,"['We', 'your']",2,0.33,
Sentence 4,44,"['WASHINGTON', '—', 'stunning', 'development', ',', 'House', 'Oversight', 'Committee', 'issued', 'subpoena', 'Wednesday', 'FBI', 'file', 'whistleblower', 'said', 'links', 'President', 'Biden', '“', 'criminal', 'scheme', '”', 'involving', '“', 'money', 'policy', 'decisions', '”', 'vice', 'presidency', '.']",31,"['In', 'a', 'the', 'a', 'for', 'an', 'that', 'a', 'to', 'a', 'for', 'during', 'his']",13,0.3,
Sentence 5,35,"['tip', 'potential', 'breakthrough', 'GOP', 'investigators', 'looking', 'Joe', 'Biden', '’', 'role', 'family', '’', 'business', 'dealings', 'countries', 'China', ',', 'Mexico', ',', 'Russia', 'Ukraine', '.']",22,"['The', 'is', 'a', 'for', 'into', 's', 'in', 'his', 's', 'in', 'such', 'as', 'and']",13,0.37,
Sentence 6,31,"['Republicans', 'say', 'file', 'pertains', 'potential', 'wrongdoing', 'Joe', 'Biden', '—', 'rather', 'possible', 'criminal', 'activity', 'first', 'son', 'Hunter', 'Biden', 'another', 'relative', 'indirectly', 'implicates', 'president', '.']",23,"['the', 'to', 'by', 'than', 'by', 'or', 'that', 'the']",8,0.26,
Sentence 7,17,"['alleged', 'corruption', 'believed', 'involve', 'country', 'China', ',', 'Post', 'understands', '.']",10,"['The', 'is', 'to', 'a', 'other', 'than', 'The']",7,0.41,
Sentence 8,33,"['Two', 'sources', 'say', 'whistleblower', 'person', 'IRS', 'agent', 'anonymously', 'came', 'forward', 'last', 'month', 'allege', 'coverup', 'criminal', 'investigation', 'first', 'son', '.']",19,"['the', 'is', 'not', 'the', 'same', 'as', 'the', 'who', 'to', 'a', 'in', 'the', 'of', 'the']",14,0.42,
Sentence 9,43,"['document', 'subpoenaed', 'Oversight', 'Committee', 'FD-1023', 'informant', 'report', '“', 'created', 'modified', 'June', '2020″', '—', 'months', 'Biden', 'presidency—', 'must', 'supplied', 'meeting', 'May', '10', ',', 'subpoena', 'says', '.']",25,"['The', 'by', 'the', 'is', 'an', 'that', 'was', 'or', 'in', 'before', 'won', 'the', 'and', 'be', 'at', 'a', 'on', 'the']",18,0.42,
Sentence 10,59,"['Oversight', 'Committee', 'Chairman', 'James', 'Comer', '(', 'R-Ky.', ')', 'said', 'new', 'whistleblower', 'tip', '“', 'raises', 'concerns', 'then-Vice', 'President', 'Biden', 'allegedly', 'engaged', 'bribery', 'scheme', 'foreign', 'national.', '”', '“', 'American', 'people', 'need', 'know', 'President', 'Biden', 'sold', 'United', 'States', 'America', 'make', 'money', ',', '”', 'Comer', 'said', '.']",43,"['that', 'the', 'that', 'in', 'a', 'with', 'a', 'The', 'to', 'if', 'out', 'the', 'of', 'to', 'for', 'himself']",16,0.27,
Sentence 11,141,"['letter', 'Attorney', 'General', 'Merrick', 'Garland', 'FBI', 'Director', 'Christopher', 'Wray', ',', 'Comer', 'Senate', 'Budget', 'Committee', 'ranking', 'member', 'Chuck', 'Grassley', '(', 'R-Iowa', ')', 'wrote', ',', '“', 'received', 'legally', 'protected', 'highly', 'credible', 'unclassified', 'whistleblower', 'disclosures.', '”', '“', 'Based', 'disclosures', ',', '”', 'Republicans', 'wrote', ',', '“', 'come', 'attention', 'Department', 'Justice', '(', 'DOJ', ')', 'Federal', 'Bureau', 'Investigation', '(', 'FBI', ')', 'possess', 'unclassified', 'FD-1023', 'form', 'describes', 'alleged', 'criminal', 'scheme', 'involving', 'then-Vice', 'President', 'Biden', 'foreign', 'national', 'relating', 'exchange', 'money', 'policy', 'decisions.', '”', 'letter', ',', 'sent', 'alongside', 'subpoena', ',', 'adds', ',', '“', 'alleged', 'document', 'includes', 'precise', 'description', 'alleged', 'criminal', 'scheme', 'employed', 'well', 'purpose', '.']",96,"['In', 'a', 'to', 'and', 'and', 'We', 'have', 'and', 'on', 'those', 'the', 'it', 'has', 'to', 'our', 'that', 'the', 'of', 'and', 'the', 'of', 'an', 'that', 'an', 'and', 'a', 'to', 'the', 'of', 'for', 'The', 'the', 'It', 'has', 'been', 'that', 'the', 'a', 'of', 'how', 'the', 'was', 'as', 'as', 'its']",45,0.32,
Sentence 12,34,"['Based', 'alleged', 'specificity', 'within', 'document', ',', 'would', 'appear', 'DOJ', 'FBI', 'enough', 'information', 'determine', 'truth', 'accuracy', 'information', 'contained', 'within', '.']",19,"['on', 'the', 'the', 'it', 'that', 'the', 'and', 'the', 'have', 'to', 'the', 'and', 'of', 'the', 'it']",15,0.44,
Sentence 13,29,"['However', ',', 'remains', 'unclear', 'steps', ',', ',', 'taken', 'investigate', 'matter.', '”', 'White', 'House', 'spokesman', 'Ian', 'Sams', 'sought', 'downplay', 'news', '.']",20,"['it', 'what', 'if', 'any', 'were', 'to', 'the', 'to', 'the']",9,0.31,
Sentence 14,48,"['“', 'going', 'five', 'years', ',', 'Republicans', 'Congress', 'lobbing', 'unfounded', ',', 'unproven', ',', 'politically-motivated', 'attacks', 'President', 'family', 'without', 'offering', 'evidence', 'claims', 'evidence', 'decisions', 'influenced', 'anything', 'U.S.', 'interests', ',', '”', 'Sams', 'said', '.']",31,"['For', 'on', 'now', 'in', 'have', 'been', 'against', 'the', 'and', 'his', 'for', 'their', 'or', 'of', 'by', 'other', 'than']",17,0.35,
Sentence 15,134,"['“', '’', 'prefer', 'floating', 'anonymous', 'innuendo', ',', 'amplified', 'megaphone', 'allies', 'rightwing', 'media', ',', 'get', 'attention', 'try', 'distract', 'deflect', 'unpopular', 'ideas', 'lack', 'solutions', 'issues', 'American', 'people', 'actually', 'care', 'about.', '”', 'Sams', 'added', ',', '“', 'comes', 'President', 'Biden', '’', 'personal', 'finances', ',', 'anybody', 'take', 'look', ':', 'offered', 'unprecedented', 'level', 'transparency', ',', 'releasing', 'total', '25', 'years', 'tax', 'returns', 'American', 'public.', '”', '(', 'Biden', 'released', 'information', 'would', 'show', 'source', '$', '13', 'million', 'income', '2017', '2018', 'first', 'lady', 'Jill', 'Biden', 'routed', 'tax-dodge', 'entities', 'known', 'Corporations', '.', ')']",82,"['That', 's', 'because', 'they', 'by', 'the', 'of', 'their', 'in', 'to', 'and', 'to', 'and', 'from', 'their', 'own', 'and', 'of', 'to', 'the', 'the', 'When', 'it', 'to', 's', 'can', 'a', 'he', 'has', 'an', 'of', 'a', 'of', 'of', 'to', 'the', 'has', 'not', 'that', 'the', 'of', 'more', 'than', 'in', 'in', 'and', 'that', 'he', 'and', 'through', 'as', 'S']",52,0.39,
Sentence 16,15,"['FBI', 'spokesman', 'said', ',', '“', 'FBI', 'received', 'subpoena', 'letter', '.']",10,"['An', 'The', 'the', 'and', 'the']",5,0.33,
