Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,69,"['Daria', 'Kasatkina', ':', '``', 'Ukrainian', 'players', 'many', 'reasons', 'shake', 'hands', 'us', ""''"", 'war', 'Russia', 'Ukraine', 'also', 'serious', 'repercussions', 'tennis', 'Daria', 'Kasatkina', ':', '``', 'Ukrainian', 'players', 'many', 'reasons', 'shake', 'hands', 'us', ""''"", '(', 'Provided', 'Tennis', 'World', 'USA', ')', 'Home', 'Tennis', 'News', 'Tennis', 'Interviews', 'war', 'Russia', 'Ukraine', 'also', 'serious', 'repercussions', 'tennis', '.']",50,"['have', 'not', 'to', 'The', 'between', 'and', 'is', 'having', 'in', 'have', 'not', 'to', 'by', 'The', 'between', 'and', 'is', 'having', 'in']",19,0.28,
Sentence 2,34,"['Ukrainian', 'tennis', 'player', 'faces', 'Russian', 'tennis', 'player', 'end', 'match', 'shake', 'hands', ',', 'practice', 'practice', 'end', 'match', '.']",17,"['A', 'who', 'a', 'and', 'who', 'at', 'the', 'of', 'the', 'does', 'not', 'in', 'the', 'at', 'the', 'of', 'the']",17,0.5,
Sentence 3,25,"['also', 'happened', 'Ukrainian', 'Lesja', 'Tsurenko', 'Russian', 'Daria', 'Kasaktina', 'third', 'round', 'WTA', '1000', 'tournament', 'Madrid', '.']",15,"['It', 'between', 'the', 'and', 'the', 'in', 'the', 'of', 'the', 'in']",10,0.4,
Sentence 4,31,"['climate', ',', 'however', ',', 'cold', 'previous', 'occasions', ',', 'point', 'Tsurenko', 'said', 'goodbye', 'opponent', 'end', 'match', '.']",16,"['The', 'was', 'not', 'as', 'as', 'on', 'to', 'the', 'that', 'to', 'her', 'at', 'the', 'of', 'the']",15,0.48,
Sentence 5,27,"['Russian', 'spoken', 'war', 'Ukraine', ',', 'Russia', 'waged', 'February', 'last', 'year', ',', '.']",12,"['This', 'is', 'because', 'the', 'has', 'out', 'against', 'the', 'in', 'which', 'in', 'over', 'and', 'over', 'again']",15,0.56,
Sentence 6,32,"['war', 'led', 'exclusion', 'Russians', 'Belarusians', 'Wimbledon', 'last', 'year', ',', 'provoking', 'reaction', 'ATP', 'WTA', 'award', 'points', 'edition', '.']",17,"['A', 'that', 'to', 'the', 'of', 'and', 'from', 'the', 'of', 'the', 'and', 'not', 'to', 'for', 'that']",15,0.47,
Sentence 7,35,"['reported', 'BBC', ',', 'Kasatkina', 'said', ':', '``', 'saddest', 'part', 'war', 'still', 'going', ',', 'obviously', 'Ukrainian', 'players', 'many', 'reasons', 'shake', 'hands', '.']",21,"['As', 'by', 'The', 'is', 'that', 'the', 'is', 'on', 'so', 'have', 'not', 'to', 'with', 'it']",14,0.4,
Sentence 8,8,"['accept', ',', '.']",3,"['I', 'that', 'and', 'it', 'is']",5,0.62,
Sentence 9,7,"[""'s"", 'sad', 'situation', '.']",4,"['It', 'a', 'very']",3,0.43,
Sentence 10,15,"['really', 'glad', 'said', 'goodbye', 'left', 'court', '.']",7,"['I', 'was', 'he', 'to', 'me', 'when', 'i', 'the']",8,0.53,
Sentence 11,21,"['sorry', 'lose', 'Wimbledon', 'last', 'year', ',', 'obviously', 'reason', ',', 'painful', 'nonetheless', '.']",12,"['I', 'was', 'so', 'to', 'for', 'a', 'but', 'it', 'was']",9,0.43,
Sentence 12,40,"[""'m"", 'happy', 'come', 'back', 'year', 'honest', 'sport', 'luckier', 'still', 'able', 'compete', '95', '%', 'Russian', 'athletes', 'could', 'go', 'compete', 'international', 'events', '.']",21,"['I', 'we', 'can', 'this', 'and', 'to', 'be', 'we', 'are', 'the', 'as', 'we', 'are', 'to', 'of', 'not', 'out', 'and', 'in']",19,0.47,
Sentence 13,18,"['really', 'appreciate', 'opportunity', 'fact', 'international', 'stage', '.']",7,"['And', 'we', 'this', 'and', 'the', 'that', 'we', 'can', 'be', 'on', 'the']",11,0.61,
Sentence 14,28,"['players', 'ca', ""n't"", 'go', 'home', ';', ',', 'think', 'makes', 'lot', 'sense', 'give', 'opportunity', 'train', 'London', '.', ""''""]",17,"['Most', 'so', 'I', 'it', 'a', 'of', 'to', 'them', 'the', 'to', 'in']",11,0.39,
Sentence 15,42,"['recall', ',', 'discussions', 'ATP', ',', 'WTA', ',', 'ITF', 'LTA', ',', 'year', ',', 'unlike', '2022', ',', 'Russian', 'Belarusian', 'tennis', 'players', 'able', 'compete', 'Wimbledon', ',', 'despite', 'many', 'protests', 'Ukrainian', 'tennis', 'players', '.']",30,"['We', 'after', 'the', 'between', 'and', 'this', 'and', 'will', 'be', 'to', 'in', 'from']",12,0.29,
Sentence 16,23,"['situation', 'creating', 'lot', 'tension', 'WTA', 'locker', 'room', ',', 'culminating', 'statements', 'made', 'Aryna', 'Sabalenka', '.']",14,"['The', 'is', 'a', 'of', 'in', 'the', 'in', 'the', 'by']",9,0.39,
