Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,56,"['Scheana', 'Shay', ':', 'Tom', 'Sandoval', '‘', 'Game', 'Plan', '’', 'Raquel', 'Romance', '‘', 'Vanderpump', 'Rules', '’', 'star', 'Scheana', 'Shay', 'detailed', 'personal', 'issues', 'Tom', 'Sandoval', 'cheating', 'scandal', '—', 'exclusive', 'interview', 'clicking', 'Sign', ',', 'agree', 'Terms', 'Conditions', 'read', 'Privacy', 'Policy', '.']",38,"['Had', 'a', 'for', 'her', 'with', 'after', 'his', 'By', 'Up', 'you', 'to', 'our', 'and', 'and', 'that', 'you', 'have', 'our']",18,0.32,
Sentence 2,74,"['Sign', 'social', 'account', 'wo', ""n't"", 'post', 'accounts', 'without', 'asking', 'first', 'password', 'must', 'include', ':', 'Sign', 'social', 'account', 'wo', ""n't"", 'post', 'accounts', 'without', 'asking', 'first', 'password', 'must', 'include', ':', 'Top', '5', 'Stories', 'order', 'view', 'video', ',', 'please', 'allow', 'Manage', 'Cookies', 'order', 'view', 'video', ',', 'please', 'allow', 'Manage', 'Cookies', 'Real', 'Pain', '.']",50,"['In', 'with', 'your', 'We', 'to', 'any', 'of', 'your', 'Your', 'In', 'with', 'your', 'We', 'to', 'any', 'of', 'your', 'Your', 'In', 'to', 'the', 'In', 'to', 'the']",24,0.32,
Sentence 3,34,"['Scheana', 'Shay', 'held', 'back', 'tears', 'relived', 'Tom', 'Sandoval', '’', 'friendship', 'fallout', '—', 'intense', 'Vanderpump', 'Rules', 'finale', 'chat', '—', 'cheated', 'Ariana', 'Madix', 'Raquel', 'Leviss', '.']",24,"['as', 'she', 'her', 'and', 's', 'and', 'after', 'he', 'on', 'with']",10,0.29,
Sentence 4,53,"['“', 'Every', 'single', 'thing', 'spoke', 'conversation', '[', 'show', ']', 'felt', 'important', ',', '”', 'Shay', ',', '37', ',', 'exclusively', 'told', 'Us', 'Weekly', 'Wednesday', ',', 'May', '3', ',', 'promoting', 'partnership', 'Smirnoff', 'Locura', 'Tour', 'celebration', 'new', 'Smirnoff', 'Spicy', 'Tamarind', '.']",37,"['we', 'of', 'in', 'that', 'on', 'the', 'so', 'on', 'while', 'her', 'with', 'for', 'its', 'in', 'of', 'the']",16,0.3,
Sentence 5,57,"['“', 'one', 'harder', 'conversations', 'scenes', '’', 'ever', 'filmed', ',', 'honest.', '”', 'Bravo', 'star', 'wiped', 'away', 'tears', 'spoke', 'Sandoval', ',', '40', ',', 'on-camera', 'heart-to-heart', 'affair', ',', 'fans', 'see', 'season', '10', 'finale', 'Wednesday', ',', 'May', '17', '.']",35,"['It', 'was', 'of', 'the', 'and', 'I', 've', 'to', 'be', 'The', 'as', 'she', 'about', 'and', 'their', 'over', 'his', 'which', 'will', 'during', 'the', 'on']",22,0.39,
Sentence 6,21,"['(', 'Part', 'discussion', 'teased', 'finale', 'preview', ',', 'dropped', 'Tuesday', ',', 'May', '2', '.', ')']",14,"['of', 'the', 'was', 'in', 'the', 'which', 'on']",7,0.33,
Sentence 7,48,"['“', '’', 'definitely', 'hard', 'watch', 'back', '13-year', 'friendship', 'ended', 'anything', ',', 'someone', 'else', 'actions', ',', '”', 'Shay', 'explained', 'Us', '.']",20,"['That', 'll', 'be', 'to', 'because', 'this', 'was', 'a', 'that', 'not', 'because', 'of', 'he', 'did', 'to', 'me', 'but', 'because', 'of', 'what', 'he', 'did', 'to', 'and', 'because', 'of', 'his', 'to']",28,0.58,
Sentence 8,14,"['“', '’', 'align', 'live', 'life', '.']",6,"['And', 'that', 'doesn', 't', 'with', 'how', 'I', 'my']",8,0.57,
Sentence 9,10,"['really', 'challenging', 'scene', 'get', '.']",5,"['It', 'was', 'a', 'to', 'through']",5,0.5,
Sentence 10,37,"['really', ',', 'really', 'tough.', '”', 'Us', 'confirmed', 'March', 'Madix', ',', '37', ',', 'Sandoval', 'called', 'quits', 'nine', 'years', 'together', 'wake', 'months-long', 'affair', 'Leviss', ',', '28', '.']",25,"['It', 'was', 'in', 'that', 'and', 'it', 'after', 'in', 'the', 'of', 'his', 'with']",12,0.32,
Sentence 11,34,"['aftermath', 'Madix', 'Sandoval', '’', 'split', '—', 'cheating', 'scandal', '—', 'documented', 'season', '10', 'reality', 'show', ',', 'resumed', 'filming', 'news', 'broke', '.']",20,"['The', 'of', 'and', 's', 'and', 'the', 'has', 'been', 'on', 'of', 'the', 'which', 'after', 'the']",14,0.41,
Sentence 12,22,"['preview', 'finale', ',', 'Shay', 'confronted', 'Sandoval', 'indiscretions', 'timeline', 'relationship', 'Leviss', '.']",11,"['During', 'the', 'for', 'the', 'about', 'his', 'and', 'the', 'of', 'his', 'with']",11,0.5,
Sentence 13,47,"['Looking', 'back', ',', '“', 'Good', 'Gold', '”', 'singer', 'told', 'Us', '’', 'confident', '“', 'game', 'plan', '”', 'Tom', 'Sandoval', 'Extras', 'singer', '’', 'part', ',', '’', 'spill', 'exact', 'details', '.']",28,"['the', 'as', 'that', 'she', 's', 'there', 'was', 'a', 'on', 'the', 'and', 'the', 'Most', 's', 'but', 'she', 'couldn', 't', 'the']",19,0.4,
Sentence 14,47,"['“', 'know', 'conversation', '[', ']', 'see', 'trailer', ',', '[', ']', '’', 'like', ',', '‘', 'gon', 'na', 'break', 'Ariana', 'regardless.', '’', 'game', 'plan', 'given', ',', '”', 'Shay', 'revealed', '.']",28,"['I', 'in', 'our', 'that', 'you', 'in', 'the', 'when', 'he', 's', 'I', 'was', 'up', 'with', 'The', 'was', 'to', 'me', 'then']",19,0.4,
Sentence 15,16,"['“', '’', 'know', 'much', '’', 'see', '.']",7,"['I', 'just', 'don', 't', 'how', 'of', 'that', 'you', 'll']",9,0.56,
Sentence 16,6,"['game', 'plan', '.']",3,"['He', 'had', 'a']",3,0.5,
Sentence 17,47,"[',', '’', 'know.', '”', 'drama', 'hard', 'Madix', '—', 'since', 'started', 'seeing', 'Daniel', 'Wai', 'following', 'Coachella', 'makeout', 'session', 'April', '—', 'Sandoval', 'Leviss', '’', 'actions', 'also', 'hurt', 'several', 'Pump', 'Rules', 'costars', '.']",30,"['Her', 'I', 'don', 't', 'While', 'the', 'has', 'been', 'on', 'who', 'has', 'a', 'in', 'and', 'have', 'of', 'their']",17,0.36,
Sentence 18,52,"['order', 'view', 'video', ',', 'please', 'allow', 'Manage', 'Cookies', '“', 'two', 'absolute', 'best', 'friends', ',', 'lose', 'time', '[', 'hard', ']', ',', '”', 'Shay', 'told', 'Us', 'Wednesday', 'Missouri', 'native', 'former', 'pageant', 'queen', '.']",31,"['In', 'to', 'the', 'These', 'were', 'of', 'my', 'so', 'to', 'both', 'of', 'them', 'at', 'the', 'same', 'was', 'on', 'of', 'the', 'and', 'the']",21,0.4,
Sentence 19,25,"['“', 'Scheananigans', '”', 'podcast', 'host', 'explained', 'unlike', 'past', 'cast', 'problems', ',', 'cheating', 'scandal', 'made', 'completely', 'shut', 'guilty', 'parties', '.']",19,"['The', 'that', 'the', 'her', 'out', 'both']",6,0.24,
Sentence 20,18,"['“', 'immediate', 'disconnect', ',', 'like', ',', 'done', 'night', 'New', 'York', '.']",11,"['It', 'was', 'I', 'we', 'were', 'that', 'in']",7,0.39,
Sentence 21,12,"['done', ',', '”', 'said', '.']",5,"['I', 'was', 'with', 'both', 'of', 'them', 'she']",7,0.58,
Sentence 22,27,"['“', 'could', 'never', 'see', 'continuing', 'friendship', 'found', 'out.', '”', 'Shay', 'continued', ':', '“', 'different', 'level', '.']",16,"['I', 'a', 'after', 'what', 'I', 'This', 'is', 'just', 'on', 'such', 'a']",11,0.41,
Sentence 23,25,"['mean', ',', 'someone', 'home', '…', 'three', 'would', 'stuff', 'together', 'time', '.']",11,"['I', 'this', 'was', 'who', 'was', 'in', 'their', 'the', 'of', 'them', 'do', 'all', 'of', 'the']",14,0.56,
Sentence 24,45,"['Ariana', 'one', 'clued', 'actually', 'going', 'on.', '”', 'Despite', 'stress', 'surrounding', 'Pump', 'Rules', 'friends', ',', 'California', 'native', 'remained', 'focused', 'ventures', ',', 'including', 'teaming', 'Smirnoff', 'Cinco', 'de', 'Mayo', '.']",27,"['was', 'the', 'only', 'not', 'into', 'what', 'was', 'all', 'the', 'the', 'the', 'has', 'on', 'her', 'own', 'up', 'with', 'for']",18,0.4,
Sentence 25,31,"['TV', 'personality', 'Chicago', 'Thursday', ',', 'May', '4', ',', 'host', 'pop-up', 'festive', 'holiday', '—', 'treat', 'guests', 'Smirnoff', 'Spicy', 'Tamarind', 'cocktails', '.']",20,"['The', 'will', 'be', 'in', 'on', 'to', 'a', 'for', 'the', 'and', 'to']",11,0.35,
Sentence 26,6,"['“', 'tastes', 'really', 'good', '.']",5,['It'],1,0.17,
Sentence 27,13,"['’', '[', 'also', ']', 'sucker', 'cute', 'branding', '.']",8,"['I', 'm', 'a', 'for', 'any']",5,0.38,
Sentence 28,23,"['loved', 'decor', ',', '”', 'Shay', 'told', 'Us', 'alcohol', 'brand', '’', 'new', 'flavor', 'vodka', '.']",14,"['And', 'I', 'the', 'of', 'this', 'of', 'the', 's', 'of']",9,0.39,
Sentence 29,25,"['“', 'made', 'little', 'spicy', 'tamarind', '[', 'margarita', ']', ',', 'skinny', 'version', 'last', 'night', ',', 'good', '.']",16,"['But', 'then', 'I', 'a', 'a', 'and', 'it', 'was', 'so']",9,0.36,
Sentence 30,42,"['’', 'even', 'need', 'add', 'much', 'vodka', 'flavor.', '”', 'teased', ':', '“', 'always', 'tequila', 'girl', ',', 'always', 'vodka', 'girl', '.']",19,"['I', 'didn', 't', 'to', 'that', 'to', 'it', 'because', 'the', 'has', 'all', 'of', 'the', 'She', 'I', 'am', 'not', 'the', 'so', 'I', 'can', 'be', 'a']",23,0.55,
Sentence 31,8,"['’', 'really', 'excited', '.']",4,"['I', 'm', 'for', 'this']",4,0.5,
Sentence 32,54,"['love', 'spicy', 'drink.', '”', 'reality', 'star', 'noted', 'new', 'Smirnoff', 'flavor', ',', 'Cinco', 'de', 'Mayo', 'celebrants', '“', 'take', '[', ']', 'celebrations', 'basic', 'bold.', '”', 'details', 'Shay', '’', 'partnership', 'Smirnoff', '—', 'Chicago', 'Locura', 'Tour', 'event', '—', 'click', '.']",36,"['I', 'a', 'The', 'that', 'with', 'the', 'can', 'their', 'from', 'to', 'For', 'more', 'on', 's', 'with', 'and', 'the', 'here']",18,0.33,
Sentence 33,10,"['Vanderpump', 'Rules', 'airs', 'Bravo', 'Wednesdays', '9', 'p.m', '.']",8,"['on', 'at']",2,0.2,
Sentence 34,2,"['ET', '.']",2,[],0,0.0,
Sentence 35,13,"['season', 'finale', 'set', 'air', 'Wednesday', ',', 'May', '17', '.']",9,"['The', 'is', 'to', 'on']",4,0.31,
Sentence 36,28,"['Sign', 'Us', 'Weekly', ""'s"", 'free', ',', 'daily', 'newsletter', 'never', 'miss', 'breaking', 'news', 'exclusive', 'stories', 'favorite', 'celebrities', ',', 'TV', 'shows', '!']",20,"['up', 'for', 'and', 'or', 'about', 'your', 'and', 'more']",8,0.29,
Sentence 37,20,"['reporting', 'Christina', 'Garibaldi', 'access', 'exclusive', 'celebrity', 'videos', 'interviews', '–', 'Subscribe', 'YouTube', '!']",12,"['With', 'by', 'For', 'to', 'all', 'our', 'and', 'on']",8,0.4,
