Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,62,"['‘', 'Vanderpump', 'Rules', '’', 'Season', 'Finale', 'Trailer', 'Depicts', 'Scandoval', 'Fallout', ':', '‘', 'Regret', 'Ever', 'Loving', '’', '(', 'Video', ')', 'Kristen', 'Doute', 'returns', 'Bravo', 'series', 'stir', 'pot', 'amid', 'Tom', 'Sandoval', 'Ariana', 'Madix', 'breakup', '“', 'Vanderpump', 'Rules', '”', 'knew', 'breakup', 'conversation', 'Tom', 'Sandoval', 'Ariana', 'Madix', 'coming', ',', 'looks', 'particularly', 'nasty', '.']",49,"['I', 'You', 'to', 'the', 'to', 'the', 'and', 'the', 'between', 'and', 'was', 'but', 'it']",13,0.21,
Sentence 2,48,"['just-released', 'trailer', 'Bravo', 'show', '’', 'Season', '10', 'finale', 'shows', 'fallout', '“', 'Scandoval', '”', '—', 'Madix', 'discovers', 'longtime', 'boyfriend', 'Sandoval', 'cheating', 'castmate', 'Raquel', 'Leviss', '(', 'read', 'full', 'explainer', 'scandal', ')', '.']",30,"['The', 'for', 'the', 's', 'the', 'from', 'The', 'in', 'which', 'her', 'was', 'on', 'her', 'with', 'our', 'on', 'the', 'here']",18,0.38,
Sentence 3,29,"['Watch', ':', '“', 'Raquel', 'became', 'like', 'really', 'good', 'friends', ',', '”', 'Sandoval', 'says', 'Madix', 'sitdown', 'shot', 'cheating', 'revealed', '.']",19,"['it', 'below', 'Me', 'and', 'to', 'during', 'a', 'after', 'his', 'was']",10,0.34,
Sentence 4,11,"['“', '’', 'f—k', 'f—king', 'Raquel', '!']",6,"['I', 'don', 't', 'a', 'about']",5,0.45,
Sentence 5,11,"['friendship', 'f—king', 'bulls—t', '!', '”', 'Madix', 'screams', 'back', '.']",9,"['Your', 'is']",2,0.18,
Sentence 6,44,"['Later', 'trailer', ',', 'Madix', 'says', ',', '“', 'regret', 'ever', 'loving', 'you.', '”', 'Also', 'Read', ':', '‘', 'Vanderpump', 'Rules', '’', 'Star', 'Raquel', 'Leviss', 'Checks', 'Mental', 'Health', 'Facility', 'Amid', 'Scandoval', 'Madix', 'also', 'seen', 'consoled', 'tearful', 'Lisa', 'Vanderpump', '.']",36,"['in', 'the', 'I', 'Into', 'is', 'being', 'by', 'a']",8,0.18,
Sentence 7,29,"['Meanwhile', ',', 'Leviss', 'embraces', 'Sandoval', ',', 'saying', '“', 'turned', 'horribly', 'wrong', ',', '”', 'indicating', 'secret', 'affair', 'going', '.']",18,"['It', 'out', 'so', 'that', 'their', 'had', 'been', 'on', 'for', 'a', 'while']",11,0.38,
Sentence 8,15,"['’', 'reported', 'pair', 'affair', 'started', 'August', '2022', '.']",8,"['It', 's', 'been', 'that', 'the', 'in', 'of']",7,0.47,
Sentence 9,48,"['end', 'trailer', ',', 'Sandoval', '’', 'ex', 'former', 'cast', 'member', 'Kristen', 'Doute', 'makes', 'appearance', 'cryptically', 'teases', ',', '“', 'ready', '?', '”', 'One', 'thing', 'clear', ',', 'Doute', 'clearly', 'Team', 'Madix', ',', 'even', 'though', 'Sandoval', 'left', 'Madix', '.']",35,"['At', 'the', 'of', 'the', 's', 'and', 'an', 'and', 'You', 'is', 'is', 'her', 'for']",13,0.27,
Sentence 10,26,"['Doute', 'Stassi', 'Schroeder', 'fired', 'show', 'reporting', 'Black', 'female', 'castmate', 'police', 'theft', 'knowing', 'suspect', '.']",14,"['and', 'were', 'from', 'the', 'after', 'a', 'to', 'for', 'she', 'was', 'not', 'the']",12,0.46,
Sentence 11,32,"['Also', 'Read', ':', '‘', 'Vanderpump', 'Rules', '’', 'Reunion', ':', 'Everything', 'Know', '‘', 'Scandoval', '’', 'Showdown', 'Filming', 'Season', '10', 'initially', 'wrapped', 'news', 'Scandoval', 'broke', '.']",24,"['We', 'About', 'the', 'on', 'had', 'before', 'of', 'the']",8,0.25,
Sentence 12,29,"['Production', 'picked', 'capture', 'fallout', 'breakup', 'Sandoval', 'Madix', ',', 'well', 'cast', '’', 'reaction', 'subsequent', 'public', 'scandal', '.']",16,"['up', 'again', 'to', 'the', 'of', 'the', 'between', 'and', 'as', 'as', 'the', 's', 'and']",13,0.45,
Sentence 13,25,"['’', 'see', 'goes', 'season', 'finale', '“', 'Vanderpump', 'Rules', '”', 'airs', 'May', '17', '.']",13,"['We', 'll', 'have', 'to', 'how', 'it', 'all', 'down', 'when', 'the', 'of', 'on']",12,0.48,
Sentence 14,13,"['reunion', 'already', 'filmed', 'air', 'following', 'finale', '.']",7,"['The', 'has', 'been', 'and', 'will', 'the']",6,0.46,
Sentence 15,9,"['“', 'Vanderpump', 'Rules', '”', 'airs', 'Wednesdays', 'Bravo', '.']",8,['on'],1,0.11,
