Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,40,"['White', 'House', 'leaves', 'door', 'open', 'deal', 'resolves', 'debt', 'ceiling', 'crisis', '-', 'Washington', 'Post', 'Biden', 'McCarthy', 'could', 'reach', 'agreement', 'claim', 'adheres', 'incompatible', 'negotiating', 'positions', 'debt', 'limit', 'federal', 'spending', '.']",28,"['to', 'that', 'The', 'and', 'an', 'they', 'both', 'to', 'their', 'on', 'the', 'and']",12,0.3,
Sentence 2,45,"['White', 'House', 'officials', 'leaving', 'door', 'open', 'compromise', 'House', 'Republicans', 'government', 'spending', 'also', 'resolves', 'impasse', 'federal', 'debt', 'ceiling', '—', 'strategy', 'could', 'allow', 'parties', 'claim', 'victory', 'averting', 'national', 'economic', 'catastrophe', '.']",29,"['are', 'the', 'to', 'a', 'with', 'on', 'that', 'the', 'over', 'the', 'a', 'that', 'both', 'to', 'while', 'a']",16,0.36,
Sentence 3,41,"['President', 'Biden', 'adamant', 'acquiesce', 'Republicans', '’', 'proposed', 'spending', 'cuts', 'secure', 'support', 'raise', 'debt', 'limit', ',', 'arguing', 'reward', 'GOP', 'taking', 'U.S.', 'economy', 'hostage', '.']",23,"['has', 'been', 'that', 'he', 'will', 'not', 'to', 'to', 'their', 'to', 'the', 'that', 'he', 'can', 'not', 'the', 'for', 'the']",18,0.44,
Sentence 4,25,"['Speaker', 'Kevin', 'McCarthy', '(', 'R-Calif.', ')', 'equally', 'adamant', 'House', '’', 'lift', 'debt', 'limit', 'without', 'securing', 'cuts', '.']",17,"['But', 'has', 'been', 'that', 'the', 'won', 't', 'the']",8,0.32,
Sentence 5,49,"['One', 'way', 'logjam', '—', 'widely', 'discussed', 'ends', 'Pennsylvania', 'Avenue', '—', 'would', 'reaching', 'agreement', 'party', 'defines', 'differently', ',', 'Biden', 'claiming', 'gave', 'nothing', 'debt', 'limit', 'hike', 'McCarthy', 'claiming', 'concessions', 'spending', '.']",29,"['out', 'of', 'this', 'on', 'both', 'of', 'be', 'an', 'that', 'each', 'then', 'with', 'he', 'up', 'for', 'the', 'and', 'he', 'won', 'on']",20,0.41,
Sentence 6,38,"['potential', '“', 'two-track', '”', 'negotiation', 'coming', 'greater', 'focus', 'White', 'House', 'announced', 'Monday', 'Biden', 'invited', 'McCarthy', 'three', 'top', 'congressional', 'leaders', 'sit-down', 'discussion', 'next', 'week', '.']",24,"['The', 'for', 'this', 'is', 'into', 'after', 'the', 'that', 'had', 'and', 'the', 'other', 'for', 'a']",14,0.37,
Sentence 7,41,"['Treasury', 'Secretary', 'Janet', 'L.', 'Yellen', 'also', 'warned', 'Congress', 'Monday', 'United', 'States', 'risks', 'default', 'early', 'June', '1', 'limit', '’', 'raised', ',', 'sparking', 'renewed', 'urgency', 'talks', 'find', 'potential', 'resolution', '.']",28,"['on', 'that', 'the', 'by', 'as', 'as', 'if', 'the', 'isn', 't', 'for', 'to', 'a']",13,0.32,
Sentence 8,37,"['months', ',', 'Biden', 'emphasized', 'understands', 'need', 'negotiate', 'funding', 'government', 'even', 'rejects', 'negotiations', 'debt', 'limit', ',', 'spurring', 'speculation', 'potential', 'implicit', 'compromise', '.']",21,"['For', 'has', 'that', 'he', 'the', 'to', 'over', 'the', 'as', 'he', 'over', 'the', 'about', 'the', 'for', 'an']",16,0.43,
Sentence 9,69,"['1/4', '“', 'Biden', 'could', 'totally', 'say', ',', '‘', 'made', 'deal', 'spending', ',', 'knew', 'going', ',', '’', 'deal', 'McCarthy', 'also', 'says', ',', '‘', 'got', 'give', ',', 'thing', 'debt', 'ceiling', ',', '’', '”', 'said', 'Dean', 'Baker', ',', 'liberal', 'economist', 'White', 'House', 'ally', '.']",41,"['We', 'a', 'on', 'which', 'we', 'we', 'were', 'to', 'have', 'to', 'do', 'about', 'the', 'same', 'where', 'We', 'them', 'to', 'up', 'this', 'that', 'and', 'the', 'other', 'for', 'the', 'a', 'and']",28,0.41,
Sentence 10,66,"['“', 'could', 'say', 'things', 'completely', 'opposite', 'hope', 'sell', 'base.', '”', 'White', 'House', 'press', 'secretary', 'Karine', 'Jean-Pierre', 'reiterated', 'reporters', 'Tuesday', 'Biden', 'remains', 'willing', 'negotiate', 'government', 'spending', 'levels', '’', 'negotiate', 'whether', 'United', 'States', 'pays', 'programs', 'bills', 'already', 'legally', 'obligated', 'spend', 'money', '.']",40,"['They', 'both', 'that', 'are', 'and', 'they', 'can', 'it', 'to', 'their', 'to', 'that', 'to', 'over', 'but', 'won', 't', 'on', 'the', 'for', 'and', 'that', 'it', 'is', 'to', 'on']",26,0.39,
