Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,13,"['Opinion', '|', 'Ed', 'Sheeran', 'lawsuit', 'threat', 'Western', 'civilization', '.']",9,"['The', 'is', 'a', 'to']",4,0.31,
Sentence 2,2,"['Really', '.']",2,[],0,0.0,
Sentence 3,33,"['-', 'Washington', 'Post', 'Suing', 'Ed', 'Sheeran', 'using', 'chords', 'played', 'Marvin', 'Gaye', 'like', 'saying', 'painter', ':', '’', 'pay', 'use', 'red', '.']",20,"['The', 'for', 'that', 'were', 'by', 'is', 'to', 'a', 'You', 'll', 'have', 'to', 'to']",13,0.39,
Sentence 4,6,"['Someone', 'else', 'used', 'first', '.']",5,['it'],1,0.17,
Sentence 5,15,"['Elizabeth', 'Nelson', 'singer', 'songwriter', 'D.C.-based', 'band', 'Paranoid', 'Style', '.']",9,"['is', 'a', 'and', 'with', 'the', 'the']",6,0.4,
Sentence 6,12,"['Imagine', 'painter', 'studio', ',', 'preparing', 'exhibition', '.']",7,"['a', 'in', 'their', 'for', 'an']",5,0.42,
Sentence 7,8,"['painter', 'working', 'landscape', '.']",4,"['The', 'is', 'on', 'a']",4,0.5,
Sentence 8,6,"['sky', 'midnight', 'blue', '.']",4,"['The', 'is']",2,0.33,
Sentence 9,6,"['valley', 'Kelly', 'green', '.']",4,"['The', 'is']",2,0.33,
Sentence 10,15,"['Mountains', 'loom', 'back', ',', 'spectacular', 'hue', 'reflecting', 'brilliant', 'sunset', '.']",10,"['in', 'the', 'a', 'off', 'a']",5,0.33,
Sentence 11,9,"['painter', 'reaches', 'vermillion', 'pauses', '.']",5,"['The', 'for', 'and', 'then']",4,0.44,
Sentence 12,18,"['Wait', 'second', ',', 'think', ':', 'someone', 'copyright', 'shade', 'red', '?']",10,"['a', 'they', 'Does', 'own', 'the', 'to', 'this', 'of']",8,0.44,
Sentence 13,9,"['going', 'get', 'sued', '?']",4,"['Am', 'I', 'to', 'for', 'this']",5,0.56,
Sentence 14,7,"['would', 'crazy', ',', 'right', '?']",5,"['That', 'be']",2,0.29,
Sentence 15,24,"['Regrettably', 'amazingly', ',', 'music', 'industry', 'aesthetic', 'equivalent', 'thought', 'process', 'longer', 'insane', 'sounds', '.']",13,"['and', 'in', 'the', 'the', 'of', 'this', 'is', 'no', 'as', 'as', 'it']",11,0.46,
Sentence 16,25,"['question', 'allowed', 'unfettered', 'access', 'metaphorical', 'color', 'palette', 'songwriting', 'currently', 'trial', 'federal', 'court', 'Manhattan', '.']",14,"['The', 'of', 'who', 'is', 'to', 'the', 'of', 'is', 'on', 'in', 'in']",11,0.44,
Sentence 17,50,"['English', 'singer', 'songwriter', 'Ed', 'Sheeran', 'accused', 'stealing', 'song', '“', 'Thinking', 'Loud', '”', 'Marvin', 'Gaye', '’', '1973', 'classic', '“', 'Let', '’', 'Get', ',', '”', 'wife', 'descendants', 'song', '’', 'co-writer', ',', 'Ed', 'Townsend', '.']",32,"['The', 'and', 'has', 'been', 'of', 'his', 'Out', 'from', 's', 's', 'It', 'On', 'by', 'the', 'and', 'of', 'that', 's']",18,0.36,
Sentence 18,4,"['supposed', 'evidence', '?']",3,['The'],1,0.25,
Sentence 19,16,"['similar', 'identical', 'chord', 'progression', 'used', 'songs', 'principal', 'motif', '.']",9,"['A', 'but', 'not', 'by', 'both', 'as', 'a']",7,0.44,
Sentence 20,37,"['simplest', 'terms', ',', 'chord', 'progression', 'sequence', 'grouped', 'notes', 'arrayed', 'chosen', 'manner', 'composer', 'create', 'melody', ',', 'scaffolding', 'essentially', 'songs', 'built', '.']",20,"['In', 'its', 'a', 'is', 'a', 'of', 'in', 'the', 'of', 'a', 'to', 'a', 'the', 'on', 'which', 'all', 'are']",17,0.46,
Sentence 21,30,"['complete', 'metaphor', ',', 'lawsuit', 'implications', 'musical', 'version', 'saying', 'painter', ':', '’', 'pay', 'use', 'red', '.']",15,"['To', 'the', 'the', 'and', 'its', 'are', 'the', 'of', 'to', 'a', 'You', 'll', 'have', 'to', 'to']",15,0.5,
