Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,37,"['Kiss', ""'"", 'Paul', 'Stanley', 'Slammed', 'Rant', 'Gender-Affirming', 'Care', '|', 'HuffPost', 'Entertainment', 'Twitter', 'users', ',', 'including', 'Offspring', 'guitarist', 'Kevin', '“', 'Noodles', '”', 'Wasserman', ',', 'criticized', 'Kiss', 'frontman', '``', 'disappointing', 'take', '.', ""''""]",31,"['For', 'On', 'the', 'for', 'his', 'very']",6,0.16,
Sentence 2,71,"['Kiss', 'frontman', 'Paul', 'Stanley', 'shared', 'unprompted', '“', 'thoughts', '”', 'gender-affirming', 'care', 'minors', 'lengthy', 'social', 'media', 'post', 'Sunday', '―', 'immediately', 'faced', 'backlash', 'mischaracterizing', '“', 'game.', '”', 'singer', 'guitarist', 'shared', 'message', 'Twitter', 'Instagram', ',', 'attacking', 'parents', '“', 'normalizing', 'even', 'encouraging', 'participation', 'lifestyle', '”', 'claimed', 'confusing', 'children', 'identities', '.']",46,"['his', 'on', 'for', 'in', 'a', 'on', 'and', 'for', 'it', 'as', 'a', 'The', 'and', 'his', 'on', 'and', 'for', 'and', 'in', 'a', 'that', 'he', 'is', 'about', 'their']",25,0.35,
Sentence 3,53,"['Besides', 'inaccurately', 'describing', 'person', '’', 'gender', 'identity', '“', 'lifestyle', ',', '”', 'Stanley', '’', 'rant', 'used', 'several', 'false', 'tropes', 'commonly', 'meant', 'delegitimize', 'trans', 'identities', ',', 'including', 'reference', '“', 'play', '[', 'ing', ']', 'dress', '”', 'conflating', 'gender', 'sex', 'sexuality', '.']",38,"['a', 's', 'as', 'a', 's', 'other', 'that', 'are', 'to', 'a', 'to', 'up', 'and', 'with', 'and']",15,0.28,
Sentence 4,44,"['pic.twitter.com/5Gvz6v5HUi', 'Several', 'Twitter', 'users', 'slammed', 'Stanley', 'post', ',', 'including', 'Keith', 'Olbermann', ',', 'scolded', 'rock', 'star', 'referring', 'gender-affirming', 'care', 'minors', '“', 'game.', '”', '“', '’', '‘', 'game', ',', '’', 'asshole', '.']",30,"['for', 'his', 'who', 'the', 'for', 'to', 'for', 'as', 'a', 'It', 's', 'not', 'a', 'you']",14,0.32,
Sentence 5,7,"['GAME', '.']",2,"['What', 'you', 'do', 'is', 'a']",5,0.71,
Sentence 6,27,"['face', '―', 'internally', 'externally', 'due', 'stupid', 'panicky', 'fascists', 'like', ',', 'externally', '―', 'excruciating', 'ordeal', ',', '”', 'Olbermann', 'wrote', '.']",19,"['What', 'they', 'and', 'now', 'to', 'you', 'is', 'an']",8,0.3,
Sentence 7,11,"[""'s"", '``', 'game', ',', ""''"", 'asshole', '.']",7,"['It', 'not', 'a', 'you']",4,0.36,
Sentence 8,7,"['GAME', '.']",2,"['What', 'you', 'do', 'is', 'a']",5,0.71,
Sentence 9,23,"['face', '-', 'internally', 'externally', 'due', 'stupid', 'panicky', 'fascists', 'like', ',', 'externally', '-', 'excruciating', 'ordeal', '.']",15,"['What', 'they', 'and', 'now', 'to', 'you', 'is', 'an']",8,0.35,
Sentence 10,24,"['musicians', ',', 'including', 'Offspring', 'guitarist', 'Kevin', '“', 'Noodles', '”', 'Wasserman', ',', 'pointed', 'Kiss', '’', 'wardrobe', 'famously', 'toyed', 'gender', 'norms', '.']",20,"['Other', 'out', 'that', 'with']",4,0.17,
Sentence 11,29,"['“', 'disappointing', 'take', ',', 'especially', 'someone', 'wore', 'high-heels', ',', 'makeup', ',', '&', 'teased', 'hair', 'whole', 'career', ',', '”', 'Wasserman', 'wrote', '.']",21,"['This', 'is', 'a', 'very', 'from', 'who', 'up', 'his']",8,0.28,
Sentence 12,20,"['“', 'young', 'kid', 'band', 'helped', 'teach', 'could', 'whatever', 'wanted', '.']",10,"['As', 'a', 'your', 'me', 'that', 'I', 'be', 'I', 'to', 'be']",10,0.5,
Sentence 13,33,"['guess', 'gimmickry', 'all.', '”', 'disappointing', 'take', ',', 'especially', 'someone', 'wore', 'high-heels', ',', 'makeup', ',', '&', 'teased', 'hair', 'whole', 'career', '.']",20,"['I', 'it', 'was', 'just', 'after', 'This', 'is', 'a', 'very', 'from', 'who', 'up', 'his']",13,0.39,
Sentence 14,19,"['young', 'kid', 'band', 'helped', 'teach', 'could', 'whatever', 'wanted', '.']",9,"['As', 'a', 'your', 'me', 'that', 'I', 'be', 'I', 'to', 'be']",10,0.53,
Sentence 15,9,"['guess', 'gimmickry', '.']",3,"['I', 'it', 'was', 'just', 'after', 'all']",6,0.67,
Sentence 16,22,"['#', 'thatsashame', 'NBC', 'News', 'senior', 'reporter', 'Ben', 'Collins', 'also', 'noted', 'Stanley', '’', 'hypocrisy', 'given', 'band', '’', 'aesthetic', 'choices', '.']",19,"['s', 'the', 's']",3,0.14,
Sentence 17,14,"['Read', 'comments', ':', 'idea', 'KISS', '(', '!', ')']",8,"['his', 'and', 'other', 'below', 'The', 'of']",6,0.43,
Sentence 18,15,"['bands', 'complaining', 'gender', 'nonconforming', 'people', '...', 'chef', ""'s"", 'kiss', '.']",10,"['of', 'all', 'about', 'is', 'just']",5,0.33,
Sentence 19,14,"['https', ':', '//t.co/1Xspg2VRbI', 'agree', ',', 'children', 'dressing', 'like', '.']",9,"['I', 'should', 'only', 'be', 'this']",5,0.36,
Sentence 20,60,"['pic.twitter.com/YsUjBVXVmt', 'Paul', 'Stanley', 'pontificating', 'adults', ""'normalising"", 'even', 'encouraging', 'participation', 'lifestyle', ""'"", 'everyone', '45', ""n't"", 'spend', '80s', 'watching', 'posture', 'sexuality', 'like', ',', 'unforgettably', 'cringe', 'interview', 'Decline', 'Western', 'Civilization', 'Part', '2', 'https', ':', '//t.co/fjd9AkVrMx', 'pic.twitter.com/PiROSqQabG', '’', 'band', 'drag', 'queens', '?']",38,"['about', 'and', 'in', 'a', 'as', 'if', 'over', 'did', 'the', 'him', 'about', 'his', 'this', 'the', 'in', 'of', 'Aren', 't', 'you', 'in', 'a', 'of']",22,0.37,
Sentence 21,22,"['mean', ',', 'drag', 'Queen', 'band', 'cool', ',', '’', 'transphobe', '.']",10,"['I', 'a', 'is', 'and', 'all', 'but', 'you', 'shouldn', 't', 'be', 'such', 'a']",12,0.55,
Sentence 22,29,"['one', 'leading', 'child', 'path', 'gender', 'reassignment', 'surgery', 'like', 'play', 'dress', 'up.Did', 'anyone', 'adult', '?']",14,"['No', 'is', 'a', 'down', 'a', 'to', 'because', 'they', 'to', 'do', 'that', 'to', 'you', 'as', 'an']",15,0.52,
Sentence 23,6,"['pic.twitter.com/Di4GCmE1rR', 'really', 'disappointing', '.']",4,"['This', 'is']",2,0.33,
Sentence 24,40,"['’', 'assuming', 'significant', 'portion', 'parents', 'engaged', '“', 'sort', 'game', ',', '”', 'though', 'vast', 'majority', '’', 'making', 'serious', ',', 'loving', ',', 'supportive', 'decisions', 'based', 'knowing', 'kids', '.']",26,"['You', 're', 'a', 'of', 'are', 'in', 'some', 'of', 'as', 'the', 'aren', 't', 'on', 'their']",14,0.35,
Sentence 25,8,"['encourage', 'look', 'deeply', '.']",4,"['I', 'you', 'to', 'more']",4,0.5,
Sentence 26,27,"['entering', 'email', 'clicking', 'Sign', ',', ""'re"", 'agreeing', 'let', 'us', 'send', 'customized', 'marketing', 'messages', 'us', 'advertising', 'partners', '.']",17,"['By', 'your', 'and', 'Up', 'you', 'to', 'you', 'about', 'and', 'our']",10,0.37,
Sentence 27,13,"['also', 'agreeing', 'Terms', 'Service', 'Privacy', 'Policy', '.']",7,"['You', 'are', 'to', 'our', 'of', 'and']",6,0.46,
