Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,44,"['New', 'act', 'calls', 'construction', 'new', 'buildings', 'homes', 'all-electric', 'State', 'lawmakers', 'passed', '$', '229-billion', 'budget', 'next', 'year', 'includes', 'plan', 'transition', 'new', 'buildings', 'state', 'natural', 'gas', 'electric', 'power', '.']",27,"['for', 'of', 'and', 'to', 'be', 'have', 'now', 'the', 'for', 'which', 'a', 'to', 'all', 'in', 'the', 'from', 'to']",17,0.39,
Sentence 2,40,"['Menu', 'ALBANY', ',', 'N.Y.', '(', 'WKBW', ')', '—', 'State', 'lawmakers', 'passed', '$', '229', 'billion', 'budget', 'next', 'year', 'includes', 'plan', 'transition', 'new', 'buildings', 'state', 'natural', 'gas', 'electric', 'power', '.']",28,"['have', 'now', 'the', 'for', 'which', 'a', 'to', 'all', 'in', 'the', 'from', 'to']",12,0.3,
Sentence 3,26,"['plan', ""'ve"", 'keeping', 'eye', 'onsince', 'Governor', 'Hochul', 'first', 'unveiled', 'part', 'proposed', 'budget', 'back', 'January', '.']",15,"['This', 'is', 'a', 'we', 'been', 'an', 'it', 'as', 'of', 'her', 'in']",11,0.42,
Sentence 4,22,"['time', 'plan', 'called', 'homes', 'buildings', 'replace', 'fossil', 'fuel-powered', 'units', 'zero-emission', 'systems', '2030', '.']",13,"['At', 'that', 'the', 'for', 'all', 'and', 'to', 'with', 'by']",9,0.41,
Sentence 5,18,"['However', ',', 'last', 'four', 'months', 'plan', 'changed', 'include', 'new', 'builds', '.']",11,"['over', 'the', 'that', 'has', 'been', 'to', 'only']",7,0.39,
Sentence 6,30,"['All-Electric', 'Building', 'Act', 'decreasing', 'greenhouse', 'gas', 'emissions', 'air', 'pollution', 'new', 'construction', 'projects', 'phasing', 'construction', 'new', 'buildings', 'fossil', 'fuel', 'hookups', '.']",20,"['The', 'is', 'about', 'and', 'in', 'by', 'out', 'the', 'of', 'with']",10,0.33,
Sentence 7,32,"['cutoff', 'fossil', 'fuels', 'new', 'builds', 'seven', 'stories', 'less', 'Dec.', '31', ',', '2023', ',', 'buildings', 'taller', 'seven', 'stories', 'July', '1', ',', '2027', '.']",22,"['The', 'for', 'in', 'or', 'is', 'and', 'for', 'than', 'it', 'is']",10,0.31,
Sentence 8,43,"['``', 'New', 'York', 'State', 'working', 'help', 'ensure', 'emissions', 'reduced', 'greatly', 'natural', 'gas', 'appliances', 'whether', 'natural', 'gas', 'stove', ',', 'furnace', 'boiler', ',', ""''"", 'H-VAC', 'Project', 'Manager', 'T-Mark', 'Plumbing', 'Cooling', ',', 'Ian', 'Donnelly', 'said', '.']",33,"['is', 'to', 'that', 'are', 'from', 'it', 'a', 'or', 'at', 'and']",10,0.23,
Sentence 9,21,"['Donnelly', 'said', 'industry', 'adapting', 'quickly', ',', ""n't"", 'worry', 'changing', 'right', 'away', '.']",12,"['While', 'the', 'is', 'you', 'do', 'have', 'to', 'about', 'over']",9,0.43,
Sentence 10,26,"['``', 'people', ',', 'much', 'going', 'change', ',', ""''"", 'Earth', 'Justice', 'New', 'York', 'Policy', 'Advocate', ',', 'Liz', 'Moran', 'said', '.']",19,"['So', 'for', 'most', 'not', 'too', 'is', 'to']",7,0.27,
Sentence 11,16,"['``', 'talking', 'new', 'construction', 'policy', 'passed', '.', ""''""]",8,"['We', 'are', 'only', 'about', 'in', 'the', 'that', 'was']",8,0.5,
Sentence 12,22,"['Moran', 'said', 'polling', 'conducted', 'past', 'fall', 'showed', '66', '%', 'New', 'Yorkers', 'support', 'mandate', 'all-electric', 'new', 'construction', '.']",17,"['this', 'that', 'of', 'a', 'of']",5,0.23,
Sentence 13,10,"['``', 'makes', 'sense', ',', ""''"", 'Moran', 'said', '.']",8,"['And', 'it']",2,0.2,
Sentence 14,32,"['``', 'common', 'sense', 'simple', 'step', 'state', 'take', 'make', 'sure', ""n't"", 'locking', 'New', 'Yorkers', 'continued', 'reliance', 'upon', 'fossil', 'fuels', '.', ""''""]",20,"['This', 'is', 'a', 'and', 'for', 'the', 'to', 'to', 'that', 'we', 'are', 'into']",12,0.38,
Sentence 15,31,"['heat', 'pumps', 'becoming', 'way', 'future', 'heat', ',', 'A/C', ',', 'water', 'heating', ',', 'Donnelly', 'said', 'several', 'ways', 'install', 'home', '.']",19,"['With', 'the', 'of', 'the', 'for', 'and', 'there', 'are', 'to', 'them', 'in', 'your']",12,0.39,
Sentence 16,26,"['``', 'Whether', ""'s"", 'traditional', 'duct', 'system', 'heat', 'pump', 'technology', 'essentially', 'air', 'handler', ',', ""''"", 'Donnelly', 'said', '.']",17,"['it', 'a', 'you', 'can', 'do', 'that', 'with', 'with', 'an']",9,0.35,
Sentence 17,12,"['``', 'also', 'install', 'call', 'ductless', 'mini-split', 'systems', '.']",8,"['You', 'can', 'what', 'they']",4,0.33,
