Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,53,"['Ed', 'Sheeran', ':', ""'"", ""'m"", 'done', ""'"", 'plaintiffs', 'win', 'Marvin', 'Gaye', ""'Let"", ""'s"", 'Get', ""'"", 'copyright', 'lawsuit', 'Ed', 'Sheeran', 'would', '“', 'done', '”', ""'s"", 'found', 'liable', 'ripping', 'Marvin', 'Gaye', ""'s"", '“', 'Let', '’', 'Get', ',', ""''"", 'said', 'Monday', '.']",39,"['I', 'if', 'in', 'It', 'On', 'be', 'if', 'he', 'of', 'off', 's', 'it', 'On', 'he']",14,0.26,
Sentence 2,5,"['Thanks', 'contacting', 'us', '.']",4,['for'],1,0.2,
Sentence 3,6,"[""'ve"", 'received', 'submission', '.']",4,"['We', 'your']",2,0.33,
Sentence 4,51,"['Ed', 'Sheeran', 'would', '“', 'done', '”', '’', 'found', 'liable', 'ripping', 'Marvin', 'Gaye', '’', '“', 'Let', '’', 'Get', ',', '”', 'said', 'Monday', '—', 'returned', 'stand', 'sang', 'strummed', 'guitar', 'Manhattan', 'jury', '.']",30,"['be', 'if', 'he', 's', 'for', 'off', 's', 's', 'It', 'On', 'he', 'as', 'he', 'to', 'the', 'and', 'again', 'and', 'his', 'for', 'a']",21,0.41,
Sentence 5,55,"['British', 'singer-songwriter', 'expressed', 'toll', 'copyright', 'infringement', 'case', ',', 'attorney', 'Ilene', 'Farkas', 'asked', 'would', 'happen', 'trial', '—', 'began', 'last', 'week', 'federal', 'court', '—', '’', 'go', 'way', 'plaintiffs', 'win', 'ownership', 'chord', 'progression', 'song', '.']",32,"['The', 'the', 'the', 'has', 'had', 'on', 'him', 'as', 'his', 'what', 'if', 'the', 'which', 'in', 'doesn', 't', 'his', 'and', 'the', 'of', 'the', 'in', 'his']",23,0.42,
Sentence 6,22,"['“', 'happens', ',', '’', 'done', '—', '’', 'stopping', ',', '”', 'Sheeran', ',', '32', ',', 'responded', '.']",16,"['If', 'that', 'I', 'm', 'I', 'm']",6,0.27,
Sentence 7,61,"['“', 'find', 'really', 'insulting', 'work', 'whole', 'life', 'singer-songwriter', 'diminish', 'it.', '”', 'Earlier', ',', 'Sheeran', '’', 'lawyer', 'questioned', 'singer', 'live', 'performances', 'writing', 'song', '“', 'Thinking', 'Loud', '”', '—', 'parts', '’', 'accused', 'lifting', 'Gaye', '’', '1973', 'R', '&', 'B', 'classic', '.']",39,"['I', 'it', 'to', 'my', 'as', 'a', 'and', 's', 'the', 'about', 'and', 'the', 'of', 'his', 'Out', 'of', 'which', 'he', 's', 'of', 'from', 's']",22,0.36,
Sentence 8,26,"['“', 'Shape', '”', 'singer', 'denied', '’', 'ripped', 'Gaye', '’', 'song', 'write', '2014', 'hit', '.']",14,"['But', 'the', 'of', 'You', 'that', 'he', 'd', 'off', 's', 'to', 'his', 'own']",12,0.46,
Sentence 9,28,"['“', 'copy', 'anything', '‘', 'Let', '’', 'Get', '’', 'wrote', '‘', 'Thinking', 'Loud', '’', '?', '”', 'Farkas', 'asked', 'Sheeran', '.']",19,"['Did', 'you', 'from', 's', 'It', 'On', 'when', 'you', 'Out']",9,0.32,
Sentence 10,8,"['“', ',', '”', 'responded', 'sharply', '.']",6,"['No', 'he']",2,0.25,
Sentence 11,36,"['four-time', 'Grammy', 'Award-winning', 'musician', '—', 'last', 'week', 'performed', 'snippet', '“', 'Thinking', 'Loud', '”', 'testimony', '—', 'belted', 'various', 'mashups', 'Van', 'Morrison', 'songs', 'courtroom', 'Monday', '.']",24,"['The', 'who', 'a', 'of', 'Out', 'during', 'his', 'out', 'of', 'for', 'the', 'on']",12,0.33,
Sentence 12,43,"['strummed', 'four-chord', 'sequence', '’', 'accused', 'stealing', '“', 'Let', '’', 'Get', '”', 'sang', 'renditions', 'Morrison', 'tracks', ',', 'including', '“', 'Tupelo', 'Honey', '”', '“', 'Crazy', 'Love', ',', '”', 'stand', '.']",28,"['He', 'a', 'he', 's', 'of', 'from', 's', 'It', 'On', 'as', 'he', 'of', 'and', 'on', 'the']",15,0.35,
Sentence 13,56,"['Amy', 'Wadge', '—', 'co-wrote', '“', 'Thinking', 'Loud', '”', 'Sheeran', '—', 'later', 'told', 'jurors', 'song', '’', 'creation', ',', 'explaining', ',', 'tune', 'sounded', 'like', 'Morrison', '’', '“', 'Told', 'Lately.', '”', 'Gaye', 'never', 'entered', 'thoughts', 'songwriting', 'process', ',', 'Wadge', 'testified', '.']",38,"['who', 'Out', 'with', 'about', 'the', 's', 'that', 'to', 'her', 'the', 'more', 's', 'Have', 'I', 'You', 'her', 'during', 'the']",18,0.32,
Sentence 14,30,"['“', 'written', 'Ed', 'started', 'playing', 'phone', ',', 'said', 'Van', '(', 'Morrison', ')', 'song', ',', '”', 'said', '.']",17,"['Once', 'we', 'had', 'and', 'it', 'from', 'the', 'we', 'both', 'it', 'was', 'a', 'she']",13,0.43,
Sentence 15,88,"['“', 'sort', 'feel', 'Van', 'Morrison', 'song.', '”', 'Sheeran', ',', 'testimony', ',', 'also', 'clapped', 'back', 'plaintiffs', '’', 'musicologist', 'Alexander', 'Stewart', ',', 'argued', 'last', 'week', 'first', '24', 'seconds', '“', 'Thinking', 'Loud', '”', 'similar', 'beginning', '“', 'Let', '’', 'Get', 'On.', '”', '“', 'honest', ',', '’', 'criminal', ',', '”', 'Sheeran', 'said', ',', 'questioning', 'Stewart', '’', 'credentials', '.']",53,"['It', 'had', 'the', 'same', 'of', 'as', 'a', 'in', 'his', 'at', 'the', 'who', 'that', 'the', 'of', 'Out', 'were', 'to', 'the', 'of', 's', 'It', 'If', 'I', 'have', 'to', 'be', 'what', 'he', 's', 'doing', 'here', 'is', 'before', 's']",35,0.4,
Sentence 16,14,"['“', '…', '’', 'know', 'could', 'expert', '.']",7,"['I', 'don', 't', 'how', 'he', 'be', 'an']",7,0.5,
Sentence 17,35,"['Obviously', ',', 'opinion', 'here.', '”', 'Sheeran', 'grew', 'irritated', 'cross-examination', 'grilled', 'plaintiff', 'lawyer', 'Robert', 'Frank', 'past', 'writing', 'collaborations', 'artists', 'plays', 'music', '.']",21,"['just', 'my', 'under', 'when', 'he', 'was', 'by', 'about', 'his', 'with', 'and', 'how', 'he', 'his']",14,0.4,
Sentence 18,19,"['“', '—', 'personally', ',', 'know', '’', 'playing', 'guitar', ',', '”', 'said', 'Sheeran', '.']",13,"['Me', 'I', 'what', 'I', 'm', 'on']",6,0.32,
Sentence 19,43,"['got', 'stand', ',', 'Sheeran', 'embraced', 'Kathryn', 'Townsend', 'Griffin', '—', 'daughter', 'late', 'Ed', 'Townsend', ',', 'co-writer', '“', 'Let', '’', 'Get', '”', 'Gaye', '—', 'one', 'plaintiffs', 'suing', '.']",26,"['Before', 'he', 'on', 'the', 'the', 'of', 'the', 'of', 's', 'It', 'On', 'with', 'who', 'is', 'of', 'the', 'him']",17,0.4,
Sentence 20,35,"['two', 'shared', 'handshake', 'lengthy', 'hug', 'exchanging', 'words', 'following', 'Townsend', 'Griffin', '’', 'return', 'Justice', 'Louis', 'Stanton', '’', 'courtroom', 'suddenly', 'collapsed', 'proceedings', 'last', 'week', '.']",23,"['The', 'a', 'and', 'before', 'a', 'few', 's', 'to', 's', 'after', 'she', 'during']",12,0.34,
Sentence 21,20,"['jurors', 'rule', 'Sheeran', ',', 'second', 'trial', 'determine', 'damages', 'owed', 'Townsend', 'family', '.']",12,"['If', 'against', 'a', 'will', 'what', 'are', 'to', 'the']",8,0.4,
