Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,35,"['Jameela', 'Jamil', 'slams', 'Met', 'Gala', 'celebrating', 'Karl', 'Lagerfeld', '|', 'CNN', 'Actress', 'body', 'positivity', 'advocate', 'Jameela', 'Jamil', 'criticized', 'Met', 'Gala', 'celebrating', 'Karl', 'Lagerfeld—the', 'influential', 'fashion', 'designer', 'died', '2019', '.']",28,"['for', 'and', 'has', 'the', 'for', 'who', 'in']",7,0.2,
Sentence 2,24,"['Actress', 'body', 'positivity', 'advocate', 'Jameela', 'Jamil', 'criticized', 'Met', 'Gala', 'celebrating', 'Karl', 'Lagerfeld—the', 'influential', 'fashion', 'designer', 'died', '2019', '.']",18,"['and', 'has', 'the', 'for', 'who', 'in']",6,0.25,
Sentence 3,164,"['Jamil', ',', 'best', 'known', 'starring', 'NBC', '’', '“', 'Good', 'Place', ',', '”', 'wrote', 'Instagram', '“', 'Hollywood', 'fashion', 'said', 'quiet', 'part', 'loud', 'lot', 'famous', 'feminists', 'chose', 'celebrate', 'highest', 'level', ',', 'man', 'publicly', 'cruel', 'women', ',', 'fat', 'people', ',', 'immigrants', 'sexual', 'assault', 'survivors.', '”', 'Met', 'Gala', '2023', 'fashion', ':', 'best', 'looks', 'red', 'carpet', 'gala', '’', 'theme', 'year', 'coincided', 'exhibition', 'Metropolitan', 'Museum', 'Art', '’', 'Costume', 'Institute', ',', 'titled', '“', 'Karl', 'Lagerfeld', ':', 'Line', 'Beauty', ',', '”', 'Met', 'spokesperson', 'told', 'CNN', 'aligned', 'museum', '’', '“', 'mission', 'explore', 'art', 'creativity', 'ancient', 'times', 'today', ',', 'examine', 'moments', 'great', 'importance', 'impact', 'gain', 'deeper', 'understanding', 'art', 'history', 'invite', 'dialogue', 'reflection', '.']",103,"['for', 'in', 's', 'The', 'on', 'that', 'and', 'the', 'out', 'when', 'a', 'of', 'to', 'at', 'the', 'a', 'who', 'was', 'so', 'to', 'to', 'to', 'and', 'to', 'The', 'from', 'the', 'The', 's', 'this', 'with', 'an', 'at', 'the', 'of', 's', 'A', 'of', 'which', 'a', 'with', 'the', 's', 'to', 'and', 'from', 'the', 'through', 'and', 'to', 'of', 'and', 'so', 'we', 'can', 'a', 'of', 'and', 'and', 'and', 'further']",61,0.37,
Sentence 4,56,"['“', 'year', '’', 'Costume', 'Institute', 'exhibition', ',', 'presenting', 'work', 'singularly', 'impactful', 'designer—Karl', 'Lagerfeld—whose', 'innovation', 'unique', 'working', 'methodology', 'made', 'undeniably', 'seismic', 'contributions', 'worlds', 'fashion', 'art.', '”', 'CNN', 'also', 'reached', 'Vogue', ',', 'organizes', 'gala', ',', 'comment', '.']",35,"['This', 's', 'does', 'just', 'that', 'by', 'the', 'of', 'a', 'and', 'have', 'to', 'the', 'of', 'both', 'and', 'out', 'to', 'which', 'the', 'for']",21,0.38,
Sentence 5,60,"['Celebrities', ',', 'fashion', 'elite', 'New', 'York', '’', 'high', 'society', 'walked', 'famous', 'red', 'carpet', 'Metropolitan', 'Museum', 'Art', 'Monday', ',', 'wearing', 'extravagant', 'outfits', 'paid', 'homage', 'Lagerfeld', ',', 'best', 'known', 'transforming', 'Chanel', 'one', 'world', '’', 'valuable', 'fashion', 'houses', 'time', 'creative', 'director', '.']",39,"['and', 's', 'the', 'at', 'the', 'of', 'on', 'that', 'to', 'who', 'was', 'for', 'into', 'of', 'the', 's', 'most', 'during', 'his', 'as', 'its']",21,0.35,
Sentence 6,37,"['influence', 'designer', ',', 'also', 'controversial', 'figure', ',', 'making', 'number', 'disparaging', 'statements', 'upheld', 'narrow', 'standards', 'beauty', 'cast', 'criticism', '#', 'MeToo', 'movement', '.']",21,"['But', 'for', 'all', 'his', 'as', 'a', 'he', 'was', 'a', 'a', 'of', 'that', 'of', 'or', 'on', 'the']",16,0.43,
Sentence 7,19,"['Karl', 'Lagerfeld', ',', 'controversial', 'pioneering', 'designer', 'inspiring', 'year', ""'s"", 'Met', 'Gala', 'dress', 'code', '?']",14,"['Who', 'is', 'the', 'and', 'this']",5,0.26,
Sentence 8,21,"['also', 'sparked', 'outrage', '2017', 'criticized', 'then-German', 'Chancellor', 'Angela', 'Merkel', 'offering', 'refuge', 'people', 'fleeing', 'conflict', '.']",15,"['He', 'in', 'when', 'he', 'for', 'to']",6,0.29,
Sentence 9,20,"['“', '’', 'cancel', 'culture', ',', '”', 'Jamil', 'added', 'caption', ',', 'explaining', 'post', '.']",13,"['This', 'isn', 't', 'about', 'in', 'a', 'her']",7,0.35,
Sentence 10,9,"['“', '’', 'even', 'Karl', '.']",5,"['It', 's', 'not', 'about']",4,0.44,
Sentence 11,43,"['’', 'showing', 'selective', 'cancel', 'culture', 'within', 'liberal', 'politics', ',', 'blatant', 'way', 'far.', '”', 'added', '“', 'slippery', 'tactics', 'double', 'standards', 'like', '”', 'contribute', 'erosion', 'trust', 'toward', 'liberals', '.']",27,"['It', 's', 'about', 'how', 'is', 'in', 'the', 'most', 'so', 'She', 'that', 'and', 'this', 'to', 'an', 'of']",16,0.37,
Sentence 12,49,"['Jamil', ',', 'whose', 'body', 'positivity', 'Instagram', 'account', '“', 'Weigh', '”', 'million', 'followers', ',', 'previously', 'criticized', 'Met', 'Gala', 'October', ',', 'calling', 'theme', '“', 'disappointing', 'double', 'standard', '”', 'industry', 'pointing', 'Lagerfeld', '’', 'comments', 'recent', '.']",33,"['I', 'has', 'more', 'than', 'a', 'the', 'in', 'the', 'a', 'in', 'the', 'and', 'out', 'that', 's', 'were']",16,0.33,
