Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,49,"['Letters', 'Editor', '—', 'May', '3', ',', '2023', 'Post', 'readers', 'sound', 'Legislature', '’', 'passage', 'budget', 'bill', 'bans', 'gas', 'hookups', 'new', 'buildings', 'Bronx', 'district', 'attorney', ',', 'worst', 'conviction', 'dismissal', 'rates', 'New', 'York', 'City', '.']",32,"['to', 'the', 'off', 'on', 'the', 's', 'of', 'a', 'that', 'in', 'and', 'the', 'who', 'has', 'the', 'and', 'in']",17,0.35,
Sentence 2,5,"['Thanks', 'contacting', 'us', '.']",4,['for'],1,0.2,
Sentence 3,6,"[""'ve"", 'received', 'submission', '.']",4,"['We', 'your']",2,0.33,
Sentence 4,20,"['Issue', ':', 'Legislature', '’', 'passage', 'budget', 'bill', 'bans', 'gas', 'hookups', 'new', 'buildings', '.']",13,"['The', 'The', 's', 'of', 'a', 'that', 'in']",7,0.35,
Sentence 5,27,"['China', 'building', 'two', 'coal-fired', 'power', 'plants', 'per', 'week', '(', '“', 'Budget', 'Bust', 'New', 'York', ',', '”', 'Editorial', ',', 'May', '3', ')', '.']",22,"['is', 'up', 'to', 'A', 'To']",5,0.19,
Sentence 6,26,"['New', 'York', 'state', 'banned', 'new', 'gas', 'stoves', 'refuses', 'allow', 'fracking', 'rich', 'deposits', 'western', 'part', 'state', '.']",16,"['just', 'and', 'to', 'in', 'the', 'very', 'in', 'the', 'of', 'the']",10,0.38,
Sentence 7,28,"['Couple', 'soft-on-crime', 'laws', 'costly', 'failing', 'schools', ',', 'one', 'easily', 'understand', 'residents', 'fleeing', ',', 'better-run', 'states', '.']",16,"['this', 'with', 'the', 'and', 'very', 'and', 'can', 'more', 'why', 'are', 'to', 'other']",12,0.43,
Sentence 8,8,"['voters', 'end', 'insanity', '?']",4,"['When', 'will', 'the', 'this']",4,0.5,
Sentence 9,20,"['Larry', 'Hootnick', 'Water', 'Mill', 'Banning', 'natural-gas', 'hookups', 'another', 'step', 'towards', 'disaster', 'energy', 'security', 'New', 'York', 'state', '.']",17,"['is', 'for', 'in']",3,0.15,
Sentence 10,7,"['Redundancy', 'recipe', 'dependability', '.']",4,"['is', 'a', 'for']",3,0.43,
Sentence 11,16,"['electrical', 'grid', 'powered', 'wind', 'solar', 'northeast', 'environment', 'delusional', '.']",9,"['An', 'only', 'by', 'and', 'in', 'a', 'is']",7,0.44,
Sentence 12,28,"['’', 'Florida', 'resident', ',', 'remember', 'without', 'electrical', 'power', 'Long', 'Island', '2', '½', 'weeks', '2012', 'Hurricane', 'Sandy', '.']",17,"['I', 'm', 'now', 'a', 'but', 'I', 'being', 'on', 'for', 'in', 'after']",11,0.39,
Sentence 13,31,"['experience', ',', 'installed', 'natural-gas-powered', 'generator', 'protection', 'future', ',', 'soon', 'longer', 'option', 'homeowners', 'New', 'York', '.']",15,"['After', 'that', 'we', 'a', 'for', 'in', 'the', 'but', 'that', 'will', 'no', 'be', 'an', 'to', 'other', 'in']",16,0.52,
Sentence 14,3,"['Good', 'luck', '.']",3,[],0,0.0,
Sentence 15,29,"['Roger', 'Halvorsen', 'Jupiter', 'Island', ',', 'Fla', ',', 'New', 'Yorkers', '’', 'blame', 'Hochul', 'gas-stove', 'ban', ',', 'crime', ',', 'illegal', 'immigrants', ',', 'taxes', 'anything', 'else', '.']",24,"['can', 't', 'for', 'the', 'or']",5,0.17,
Sentence 16,10,"['Blame', 'real', 'cause', 'problems', '—', '.']",6,"['the', 'of', 'the', 'yourselves']",4,0.4,
Sentence 17,5,"['voted', '.']",2,"['You', 'her', 'in']",3,0.6,
Sentence 18,7,"['’', '.']",2,"['It', 's', 'all', 'on', 'you']",5,0.71,
Sentence 19,9,"['tyrants', '.']",2,"['She', 'is', 'only', 'doing', 'what', 'all', 'do']",7,0.78,
Sentence 20,4,"['guess', '?']",2,"['And', 'what']",2,0.5,
Sentence 21,5,"['’', 'working', '.']",3,"['It', 's']",2,0.4,
Sentence 22,14,"['’', 'already', 'talk', 'banning', 'air', 'conditioners', 'near', 'future', '.']",9,"['There', 's', 'of', 'in', 'the']",5,0.36,
Sentence 23,7,"['Keep', 'voting', 'beloved', 'Democrats', '.']",5,"['your', 'in']",2,0.29,
Sentence 24,5,"['love', 'stupidity', '.']",3,"['They', 'your']",2,0.4,
Sentence 25,15,"['Storm', 'Destro', 'Bayonne', ',', 'NJ', 'Count', 'Hochul', '’', 'natural-gas', 'ban', '.']",11,"['me', 'in', 'on', 's']",4,0.27,
Sentence 26,14,"['Burning', 'natural', 'gas', 'creates', 'nitrogen', 'dioxide', ',', 'causes', 'emphysema', 'heart', 'issues', '.']",12,"['which', 'and']",2,0.14,
Sentence 27,39,"['Republican', 'brethren', '’', 'mind', 'proven', 'heath', 'challenges', ',', '’', 'put', 'money', 'electricity', 'alternative', 'way', 'address', 'climate', 'change', 'deliver', 'livable', 'planet', 'grandchildren', '.']",22,"['While', 'my', 'don', 't', 'these', 'I', 'll', 'my', 'on', 'the', 'as', 'a', 'to', 'and', 'a', 'to', 'my']",17,0.44,
Sentence 28,24,"['Ron', 'Spurga', 'Manhattan', 'Issue', ':', 'Bronx', 'district', 'attorney', ',', 'worst', 'conviction', 'dismissal', 'rates', 'New', 'York', 'City', '.']",17,"['The', 'The', 'who', 'has', 'the', 'and', 'in']",7,0.29,
Sentence 29,38,"['Regarding', '“', 'Murders', 'Wrote', '”', '(', 'April', '30', ')', ',', 'dispute', 'no-bail', ',', 'discovery', 'Raise', 'Age', 'criminal-justice', '“', 'reforms', '”', 'wreaking', 'bloody', 'havoc', 'New', 'York', '.']",26,"['She', 'Off', 'there', 'can', 'be', 'no', 'that', 'the', 'and', 'the', 'are', 'in']",12,0.32,
Sentence 30,47,"['Despite', 'denials', 'woke', 'prosecutors', 'legislators', ',', 'facts', 'violent', 'crime', 'city', 'increased', 'enormously', 'since', 'laws', 'adopted', ',', 'criminals', 'emboldened', 'likelihood', 'prosecuted', 'shedding', 'innocent', 'victim', '’', 'blood', '.']",26,"['the', 'by', 'and', 'the', 'are', 'that', 'in', 'our', 'has', 'these', 'were', 'with', 'by', 'the', 'they', 'will', 'not', 'be', 'for', 'an', 's']",21,0.45,
Sentence 31,18,"['prosecuted', ',', 'penalty', 'involve', 'substantial', '—', '—', 'jail', 'time', '.']",10,"['If', 'they', 'are', 'the', 'will', 'not', 'if', 'any']",8,0.44,
Sentence 32,28,"['question', 'Assembly', 'Speaker', 'Carl', 'Heastie', 'state', 'Senate', 'Majority', 'Leader', 'Andrea', 'Stewart-Cousins', 'continue', 'refuse', 'roll', 'back', 'meaningfully', 'amend', 'laws', '.']",19,"['The', 'only', 'is', 'why', 'and', 'to', 'to', 'or', 'those']",9,0.32,
Sentence 33,22,"['progressive', 'leaders', '’', 'refusal', 'acknowledge', 'reality', 'undermining', 'government', '’', 'basic', 'function', '—', 'keep', 'citizens', 'safe', '.']",16,"['These', 'to', 'is', 's', 'to', 'its']",6,0.27,
Sentence 34,11,"['long', 'past', 'time', 'step', '.']",5,"['It', 'is', 'for', 'them', 'to', 'down']",6,0.55,
Sentence 35,24,"['Marc', 'E.', 'Kasowitz', 'Manhattan', 'Criminals', 'New', 'York', 'feared', 'respected', 'real', 'prosecutors', 'Thomas', 'Dewey', ',', 'Frank', 'Hogan', 'Rudolph', 'Giuliani', '.']",19,"['in', 'and', 'such', 'as', 'and']",5,0.21,
Sentence 36,19,"['must', 'laughing', 'clowns', 'Bronx', 'District', 'Attorney', 'Darcel', 'Clark', 'Manhattan', 'DA', 'Alvin', 'Bragg', '.']",13,"['They', 'be', 'at', 'such', 'as', 'and']",6,0.32,
Sentence 37,15,"['military', ',', 'bozos', 'would', 'court-martialed', 'dereliction', 'duty', '.']",8,"['In', 'the', 'these', 'have', 'been', 'for', 'of']",7,0.47,
