Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,20,"['Disney', 'Ron', 'DeSantis', ':', ""'s"", 'wild', 'history', 'vicious', 'fight—and', 'involves', 'long-buried', 'secret', '.']",13,"['and', 'There', 'a', 'to', 'their', 'it', 'a']",7,0.35,
Sentence 2,13,"[""'s"", 'wild', 'history', 'heart', 'vicious', 'fight', '.']",7,"['There', 'a', 'at', 'the', 'of', 'their']",6,0.46,
Sentence 3,26,"['50', 'years', ',', 'middle', 'central', 'Florida', ',', 'vast', 'tract', 'former', 'marshland', 'existed', 'virtually', 'outside', 'government', 'control', '.']",17,"['For', 'more', 'than', 'in', 'the', 'of', 'a', 'of', 'has']",9,0.35,
Sentence 4,21,"['small', 'vein', 'water', 'winds', 'western', 'edge', ',', 'trickling', 'south', 'feed', 'headwaters', 'Everglades', '.']",13,"['A', 'of', 'down', 'the', 'to', 'the', 'of', 'the']",8,0.38,
Sentence 5,8,"['Unincorporated', 'lands', 'exist', 'along', 'southern', 'border', '.']",7,['the'],1,0.12,
Sentence 6,9,"['smack-dab', 'middle', 'sits', 'Disney', 'World', '.']",6,"['And', 'in', 'the']",3,0.33,
Sentence 7,19,"['land', '(', 'formerly', 'known', 'Reedy', 'Creek', 'Improvement', 'District', ')', 'prize', 'Florida', 'Gov', '.']",13,"['This', 'as', 'the', 'is', 'the', 'that']",6,0.32,
Sentence 8,54,"['Ron', 'DeSantis', 'moved', 'wrest', 'Disney', '’', 'control—and', 'Disney', 'Company', 'endeavored', 'protect', ',', 'first', 'legal', 'clause', 'invokes', '“', 'last', 'survivor', 'descendants', 'King', 'Charles', 'III', '”', '(', 'yes', ',', 'really', ')', ',', 'last', 'week', ',', 'troubling', 'lawsuit', '.']",36,"['has', 'to', 'from', 's', 'that', 'the', 'has', 'to', 'with', 'a', 'that', 'the', 'of', 'the', 'of', 'and', 'with', 'a']",18,0.33,
Sentence 9,12,"['’', 'odd', 'situation', 'even', 'odder', 'history', '.']",7,"['It', 's', 'an', 'with', 'an']",5,0.42,
Sentence 10,31,"['understand', 'Disney', 'came', 'own—and', 'govern—some', '25,000', 'acres', 'Florida', 'learn', 'Walt', 'Disney', '’', 'social', 'project', 'never', 'came', '.']",17,"['Because', 'to', 'how', 'to', 'in', 'is', 'to', 'about', 's', 'and', 'why', 'it', 'to', 'be']",14,0.45,
Sentence 11,29,"['1960s', ',', 'realizing', 'spatial', 'limitations', 'Anaheim', ',', 'California', ',', 'Disney', 'began', 'develop', 'plans', 'another', 'empire', ',', 'time', 'central', 'Florida', '.']",20,"['In', 'the', 'after', 'his', 'in', 'to', 'for', 'this', 'in']",9,0.31,
