Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,52,"['Sunny', 'Hostin', 'fumes', 'Donald', 'Trump', 'televised', 'town', 'hall', ':', ""'"", ""'m"", 'disgusted', ""'"", '|', 'Fox', 'News', ""''"", 'View', ""''"", 'co-host', 'Sunny', 'Hostin', 'furious', 'Monday', 'CNN', 'planning', 'host', 'town', 'hall', 'Donald', 'Trump', 'insisted', ""n't"", 'give', 'platform', '.']",36,"['over', 'doing', 'I', 'so', 'The', 'was', 'on', 'over', 'to', 'a', 'with', 'and', 'they', 'should', 'him', 'a']",16,0.31,
Sentence 2,2,"['Factset', '.']",2,[],0,0.0,
Sentence 3,8,"['Powered', 'implemented', 'FactSet', 'Digital', 'Solutions', '.']",6,"['and', 'by']",2,0.25,
Sentence 4,3,"['Legal', 'Statement', '.']",3,[],0,0.0,
Sentence 5,10,"['Mutual', 'Fund', 'ETF', 'data', 'provided', 'Refinitiv', 'Lipper', '.']",8,"['and', 'by']",2,0.2,
Sentence 6,28,"[""'The"", 'View', ""'"", 'co-host', 'Sunny', 'Hostin', 'blasted', 'CNN', 'hosting', 'town', 'hall', 'Donald', 'Trump', 'Wednesday', 'argued', ""n't"", 'given', 'platform', '.']",19,"['for', 'a', 'with', 'on', 'and', 'he', 'should', 'be', 'a']",9,0.32,
Sentence 7,40,"['``', 'View', ""''"", 'co-host', 'Sunny', 'Hostin', 'fumed', 'Donald', 'Trump', ""'s"", 'first', 'televised', 'town', 'hall', '2024', 'election', 'cycle', 'CNN', 'said', '``', 'disgusted', ""''"", 'network', 'giving', 'Republican', 'front-runner', 'platform', '.']",28,"['The', 'over', 'of', 'the', 'on', 'and', 'she', 'was', 'by', 'the', 'the', 'a']",12,0.3,
Sentence 8,17,"['``', 'point', 'new', 'town', 'hall', '’', '?']",7,"['So', 'what', 'is', 'the', 'of', 'this', 'that', 'he', 's', 'doing']",10,0.59,
Sentence 9,28,"['learn', 'nothing', '[', 'former', 'CBS', 'executive', ']', 'Les', 'Moonves', 'saying', ',', '‘', 'Bad', 'country', 'great', 'network', '’', '?', ""''""]",19,"['And', 'did', 'we', 'from', 'for', 'the', 'but', 'for', 'the']",9,0.32,
Sentence 10,5,"['co-host', 'Whoopi', 'Goldberg', 'asked', '.']",5,[],0,0.0,
Sentence 11,28,"['``', '’', '’', 'disgusted', ',', ',', ',', 'someone', 'shows', ',', 'believe', '.']",12,"['That', 's', 'what', 'I', 'm', 'so', 'by', 'because', 'again', 'when', 'you', 'who', 'they', 'are', 'you', 'them']",16,0.57,
Sentence 12,85,"['show', 'insurrectionist', ',', '’', 'liar', ',', '’', 'bigot', ',', '’', 'racist', ',', ""'re"", 'sexist', ',', '’', 'twice', 'impeached', ',', '’', 'currently', 'criminal', 'defendant', ',', 'likely', 'criminal', 'defendant', 'two', 'jurisdictions', ',', 'grab', 'women', 'genitals', ',', 'know', 'everything', 'need', 'know', ',', ""''"", 'Hostin', 'said', '.']",43,"['When', 'you', 'that', 'you', 'are', 'an', 'that', 'you', 're', 'a', 'that', 'you', 're', 'a', 'that', 'you', 're', 'a', 'that', 'you', 'that', 'you', 're', 'that', 'you', 're', 'a', 'and', 'to', 'be', 'a', 'in', 'other', 'and', 'you', 'by', 'their', 'I', 'I', 'to', 'about', 'you']",42,0.49,
Sentence 13,16,"['argued', 'CNN', ""n't"", 'give', '``', 'type', 'person', ""''"", 'platform', '.']",10,"['She', 'that', 'should', 'that', 'of', 'a']",6,0.38,
Sentence 14,17,"['Co-host', 'Sunny', 'Hostin', 'fumed', 'CNN', 'Wednesday', 'hosting', 'town', 'hall', 'Donald', 'Trump', '.']",12,"['at', 'on', 'for', 'a', 'with']",5,0.29,
Sentence 15,57,"['SUNNY', 'HOSTIN', 'SAYS', 'WRONG', 'CALL', 'TRUMP', '‘', 'ILLEGITIMATE', 'PRESIDENT', '’', ""''"", ""'m"", 'actually', 'dismayed', 'CNN', ',', 'May', '10th', '8', ""o'clock"", 'going', 'giving', '—', 'commercial', '—', 'ca', ""n't"", 'believe', ""'re"", 'going', 'giving', 'platform', '.']",33,"['SHE', 'WAS', 'TO', 'AN', 'I', 'that', 'on', 'at', 'is', 'to', 'be', 'I', 'just', 'did', 'a', 'for', 'them', 'I', 'that', 'they', 'to', 'be', 'him', 'this']",24,0.42,
Sentence 16,13,"['one', 'destructive', 'people', ',', ""''"", 'Hostin', 'said', '.']",8,"['He', 'is', 'of', 'the', 'most']",5,0.38,
Sentence 17,18,"['Co-host', 'Joy', 'Behar', ',', 'outspoken', 'critic', 'former', 'president', ',', 'said', 'disagreed', 'Hostin', '.']",13,"['an', 'of', 'the', 'she', 'with']",5,0.28,
Sentence 18,25,"['``', 'ca', ""n't"", 'stand', ',', 'know', ',', 'front-runner', 'Republican', 'Party', ',', ""''"", 'said', '.']",14,"['I', 'him', 'as', 'you', 'but', 'he', 'is', 'the', 'for', 'the', 'she']",11,0.44,
Sentence 19,6,"['``', 'Let', '.']",3,"['them', 'do', 'it']",3,0.5,
Sentence 20,6,"['free', 'country', '.']",3,"['This', 'is', 'a']",3,0.5,
Sentence 21,4,"['America', '.']",2,"['This', 'is']",2,0.5,
Sentence 22,20,"['Let', 'go', 'let', 'show', 'American', 'people', '’', 'sociopath', '.']",9,"['him', 'out', 'there', 'and', 'him', 'again', 'the', 'that', 'he', 's', 'a']",11,0.55,
Sentence 23,14,"['First', ',', 'forum', 'requires', 'person', 'empathy', '.', ""''""]",8,"['of', 'all', 'this', 'a', 'who', 'has']",6,0.43,
Sentence 24,19,"['Co-host', 'Alyssa', 'Farah', 'Griffin', 'said', '``', 'vital', 'public', 'interest', ""''"", 'Trump', 'town', 'hall', '.']",14,"['there', 'was', 'a', 'in', 'a']",5,0.26,
Sentence 25,17,"['Former', 'President', 'Donald', 'Trump', 'leaves', 'Trump', 'Tower', 'New', 'York', 'City', 'Aug.', '10', ',', '2022', '.']",15,"['in', 'on']",2,0.12,
Sentence 26,30,"['(', 'James', 'Devaney/GC', 'Images', ')', 'JOY', 'BEHAR', 'HOPES', 'TRUMP', ""N'T"", 'DIE', 'SOON', ""'LL"", '‘', 'MARTYRED', '’', ""''"", 'Seventy-four', 'million', 'people', 'voted', '.']",22,"['DOES', 'TOO', 'BECAUSE', 'THEN', 'HE', 'BE', 'for', 'him']",8,0.27,
Sentence 27,16,"['chance', 'answer', 'direct', 'questions', 'beliefs', '.']",6,"['This', 'is', 'a', 'for', 'them', 'to', 'have', 'him', 'about', 'his']",10,0.62,
Sentence 28,22,"['’', 'first', 'major', 'interview', ""'s"", 'done', 'unfriendly', 'outlet', 'since', 'insurrection', ',', ""''"", 'said', '.']",14,"['It', 's', 'the', 'he', 'with', 'an', 'the', 'she']",8,0.36,
Sentence 29,10,"['Trump', 'officially', 'launched', '2024', 'election', 'campaign', 'November', '.']",8,"['his', 'in']",2,0.2,
Sentence 30,8,"['Co-host', 'Sara', 'Haines', 'also', 'disagreed', 'Hostin', '.']",7,['with'],1,0.12,
Sentence 31,18,"['``', 'media', '’', 'job', 'ask', 'questions', ',', 'push', 'back', ',', 'challenge', '.']",12,"['The', 's', 'is', 'to', 'to', 'to']",6,0.33,
