Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,30,"['ATP', '&', 'LaLiga', 'Launch', 'Player', 'Education', 'Programme', '|', 'ATP', 'Tour', '|', 'Tennis', 'ATP', 'launched', 'ATP', 'Business', 'Education', 'Programme', ',', 'new', 'educational', 'initiative', 'collaboration', 'LaLiga', '.']",25,"['has', 'the', 'a', 'in', 'with']",5,0.17,
Sentence 2,23,"['programme', 'designed', 'build', 'ATP', 'players', '’', 'knowledge', 'sports', 'industry', 'open', 'professional', 'opportunities', 'following', 'playing', 'careers', '.']",16,"['The', 'is', 'to', 'of', 'the', 'and', 'their']",7,0.3,
Sentence 3,18,"['ATP', 'launched', 'ATP', 'Business', 'Education', 'Programme', ',', 'new', 'educational', 'initiative', 'collaboration', 'LaLiga', '.']",13,"['has', 'the', 'a', 'in', 'with']",5,0.28,
Sentence 4,23,"['programme', 'designed', 'build', 'ATP', 'players', '’', 'knowledge', 'sports', 'industry', 'open', 'professional', 'opportunities', 'following', 'playing', 'careers', '.']",16,"['The', 'is', 'to', 'of', 'the', 'and', 'their']",7,0.3,
Sentence 5,18,"['season', 'programme', 'comprises', '30', 'tuition', 'hours', ',', 'delivered', 'online', 'person', 'four', 'months', '.']",13,"['This', 'the', 'and', 'in', 'over']",5,0.28,
Sentence 6,15,"['total', ',', '20', 'ATP', 'players', 'enrolled', 'first', 'edition', '.']",9,"['In', 'more', 'than', 'have', 'for', 'its']",6,0.4,
Sentence 7,26,"['programme', 'launched', 'in-person', 'session', 'LaLiga', ""'s"", 'headquarters', 'Madrid', ',', 'opened', 'ATP', 'Chairman', 'Andrea', 'Gaudenzi', 'LaLiga', 'President', 'Javier', 'Tebas', '.']",19,"['The', 'with', 'an', 'at', 'in', 'by', 'and']",7,0.27,
Sentence 8,23,"['programme', 'taught', 'various', 'industry', 'experts', 'first-hand', 'knowledge', 'tennis', 'world', 'wider', 'sports', 'industry', '.']",13,"['The', 'will', 'be', 'by', 'with', 'of', 'both', 'the', 'and', 'the']",10,0.43,
Sentence 9,24,"['Topics', 'covered', 'range', 'sports', 'marketing', ',', 'sponsorship', 'personal', 'branding', 'social', 'media', ',', 'fan', 'engagement', ',', 'event', 'management', 'governance', '.']",19,"['will', 'from', 'and', 'to', 'and']",5,0.21,
Sentence 10,27,"['initial', 'in-person', 'session', ',', 'players', 'also', 'exclusive', 'opportunity', 'learn', 'rebranding', 'LaLiga', ',', 'implemented', 'summer', '.']",15,"['At', 'the', 'had', 'an', 'to', 'about', 'the', 'of', 'which', 'will', 'be', 'this']",12,0.44,
