Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,37,"['Raquel', 'Leviss', 'laughs', 'affair', ""'Pump"", 'Rules', ""'"", 'finale', 'preview', 'Raquel', 'Leviss', 'laughs', 'affair', 'Tom', 'Sandoval', 'going', '``', 'horribly', 'wrong', ""''"", '``', 'Vanderpump', 'Rules', ""''"", 'Season', '10', 'finale', 'preview', '.']",29,"['over', 'in', 'over', 'her', 'with', 'so', 'in', 'the']",8,0.22,
Sentence 2,5,"['Thanks', 'contacting', 'us', '.']",4,['for'],1,0.2,
Sentence 3,6,"[""'ve"", 'received', 'submission', '.']",4,"['We', 'your']",2,0.33,
Sentence 4,40,"['Evan', 'Real', 'Submit', 'Δ', 'May', '2', ',', '2023', '|', '3:45pm', 'Raquel', 'Leviss', '’', 'help', 'giggle', 'sordid', 'affair', 'Tom', 'Sandoval', 'preview', 'upcoming', '“', 'Vanderpump', 'Rules', '”', 'Season', '10', 'finale', '.']",29,"['By', 'can', 't', 'but', 'over', 'her', 'with', 'in', 'a', 'for', 'the']",11,0.28,
Sentence 5,28,"['“', 'turned', 'horribly', 'wrong', ',', '”', 'former', 'pageant', 'queen', ',', '28', ',', 'says', 'laugh', 'discussing', 'situation', '40-year-old', 'Sandoval', '.']",19,"['It', 'out', 'so', 'the', 'with', 'a', 'while', 'the', 'with']",9,0.32,
Sentence 6,19,"['’', 'glimpse', 'Leviss', 'sneak', 'peek', ',', 'Sandoval', 'heavily', 'featured', '.']",10,"['It', 's', 'the', 'only', 'of', 'in', 'the', 'while', 'is']",9,0.47,
Sentence 7,24,"['“', 'going', 'break', 'Ariana', 'regardless', ',', '”', 'tells', 'co-star', 'Scheana', 'Shay', 'start', 'clip', '.']",14,"['I', 'was', 'to', 'up', 'with', 'he', 'at', 'the', 'of', 'the']",10,0.42,
Sentence 8,21,"['“', '’', ',', '”', '“', 'Good', 'Gold', '”', 'singer', ',', '37', ',', 'claps', 'back', '.']",15,"['But', 'you', 'didn', 't', 'the', 'as']",6,0.29,
Sentence 9,93,"['“', 'f—ked', 'best', 'friend', 'instead.', '”', 'Sandoval', 'also', 'attempts', 'justify', 'secret', 'romance', 'Leviss', 'telling', 'BFF', 'business', 'partner', ',', 'Tom', 'Schwartz', ',', '“', 'felt', 'something', '’', 'felt', 'long', 'time.', '”', 'separate', 'conversation', 'aggrieved', 'ex-girlfriend', ',', 'Ariana', 'Madix', ',', 'Sandoval', 'admits', 'Leviss', '“', 'became', ',', 'like', ',', 'really', 'good', 'friends.', '”', 'Madix', ',', '37', '—', 'dumped', 'Sandoval', 'March', 'discovering', 'infidelity', '—', '’', '.']",61,"['You', 'her', 'to', 'his', 'with', 'by', 'his', 'and', 'I', 'I', 'haven', 't', 'in', 'a', 'very', 'And', 'in', 'a', 'with', 'his', 'that', 'he', 'and', 'But', 'who', 'in', 'after', 'his', 'wasn', 't', 'having', 'it']",32,0.34,
Sentence 10,19,"['“', '’', 'give', 'f—k', 'f—king', 'Raquel', '!', '”', 'exclaims', 'apparent', 'frustration', '.']",12,"['I', 'don', 't', 'a', 'about', 'she', 'in']",7,0.37,
