Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,63,"['Supreme', 'Court', ':', 'New', 'documents', 'show', 'Sandra', 'Day', ""O'Connor"", 'helped', 'George', 'W.', 'Bush', 'win', '2000', 'election', '|', 'CNN', 'Politics', 'Justice', 'Sandra', 'Day', ""O'Connor"", 'provided', 'early', 'framework', 'steered', 'outcome', 'dispute', '2000', 'presidential', 'election', 'ensured', 'George', 'W.', 'Bush', 'would', 'win', 'White', 'House', 'Al', 'Gore', ',', 'Supreme', 'Court', 'documents', 'released', 'Tuesday', 'show', '.']",50,"['how', 'the', 'the', 'that', 'the', 'in', 'the', 'over', 'the', 'and', 'the', 'over', 'on']",13,0.21,
Sentence 2,44,"['Justice', 'Sandra', 'Day', '’', 'Connor', 'provided', 'early', 'framework', 'steered', 'outcome', 'dispute', '2000', 'presidential', 'election', 'ensured', 'George', 'W.', 'Bush', 'would', 'win', 'White', 'House', 'Al', 'Gore', ',', 'Supreme', 'Court', 'documents', 'released', 'Tuesday', 'show', '.']",32,"['O', 'the', 'that', 'the', 'in', 'the', 'over', 'the', 'and', 'the', 'over', 'on']",12,0.27,
Sentence 3,30,"['Memos', 'found', 'newly', 'opened', 'files', 'late', 'Justice', 'John', 'Paul', 'Stevens', 'offer', 'first-ever', 'view', 'behind-the-scenes', 'negotiations', 'Bush', 'v.', 'Gore', 'court', '.']",20,"['in', 'the', 'of', 'the', 'a', 'of', 'the', 'on', 'at', 'the']",10,0.33,
Sentence 4,20,"['also', 'demonstrate', 'tension', 'among', 'nine', 'justices', 'asked', 'decide', 'presidential', 'election', 'short', 'deadlines', '.']",13,"['They', 'the', 'the', 'being', 'to', 'a', 'on']",7,0.35,
Sentence 5,57,"['documents', 'opened', 'Library', 'Congress', 'help', 'reveal', 'now-retired', '’', 'Connor', ',', 'first', 'woman', 'high', 'court', 'justice', 'steeped', 'politics', 'early', 'days', 'Arizona', 'legislature', ',', 'partnered', 'Justice', 'Anthony', 'Kennedy', ',', 'effectively', 'squeezing', 'argument', 'advanced', 'then-Chief', 'Justice', 'William', 'Rehnquist', '.']",36,"['The', 'at', 'the', 'of', 'how', 'the', 'O', 'the', 'on', 'the', 'and', 'a', 'in', 'from', 'her', 'in', 'the', 'with', 'out', 'an', 'by']",21,0.37,
Sentence 6,26,"['strong', 'hand', '’', 'Connor', ',', 'ideological', 'center', 'court', 'era', ',', 'wholly', 'surprising', '.']",13,"['The', 'of', 'O', 'who', 'was', 'at', 'the', 'of', 'the', 'in', 'this', 'is', 'not']",13,0.5,
Sentence 7,28,"['’', 'Connor', 'also', 'known', 'trying', 'get', 'ahead', 'deliberations', ',', 'four-page', 'memo', 'circulated', 'colleagues', 'even', 'oral', 'arguments', '.']",17,"['O', 'was', 'for', 'to', 'out', 'of', 'and', 'her', 'was', 'to', 'before']",11,0.39,
Sentence 8,28,"['move', 'may', 'guaranteed', 'Kennedy', 'greatest', 'influence', 'final', '“', 'per', 'curiam', '”', 'opinion', 'spoke', 'five-justice', 'majority', '.']",16,"['Her', 'have', 'that', 'she', 'and', 'had', 'the', 'on', 'the', 'that', 'for', 'a']",12,0.43,
Sentence 9,22,"['final', '5-4', 'Bush', 'v.', 'Gore', 'decision', 'stopped', 'county', 'recounts', 'Florida', '’', 'decisive', 'presidential', 'electors', 'gave', 'then-Texas', 'Gov', '.']",18,"['That', 'for', 's', 'and']",4,0.18,
Sentence 10,8,"['Bush', 'victory', 'then-Vice', 'President', 'Gore', '.']",6,"['the', 'over']",2,0.25,
Sentence 11,23,"['five', 'conservative', 'justices', '(', '’', 'Connor', ',', 'Kennedy', ',', 'Rehnquist', ',', 'Antonin', 'Scalia', 'Clarence', 'Thomas', ')', 'sided', 'Bush', '.']",19,"['The', 'O', 'and', 'with']",4,0.17,
Sentence 12,25,"['four', 'liberal', 'justices', '(', 'Stevens', ',', 'David', 'Souter', ',', 'Ruth', 'Bader', 'Ginsburg', 'Stephen', 'Breyer', ')', 'aligned', 'Gore', 'dissented', 'angrily', '.']",20,"['The', 'with', 'and', 'with', 'and']",5,0.2,
Sentence 13,29,"['court', '’', 'views', 'mirrored', 'deep', 'divisions', 'country', 'election', 'weeks', 'remained', 'close', 'call', 'still', 'haunts', 'presidential', 'contests', '.']",17,"['The', 's', 'the', 'in', 'the', 'after', 'an', 'that', 'for', 'too', 'to', 'and']",12,0.41,
Sentence 14,43,"['decision', 'endured', 'one', 'greatest', 'threats', 'court', '’', 'vaunted', 'impartiality', 'institutional', 'stature', ',', 'perhaps', 'eclipsed', 'recently', 'court', '’', '5-4', 'decision', 'last', 'June', 'reversing', 'nearly', 'half', 'century', 'abortion', 'rights', '.']",28,"['The', 'has', 'as', 'of', 'the', 'to', 'the', 's', 'and', 'only', 'by', 'the', 's', 'a', 'of']",15,0.35,
Sentence 15,51,"['’', 'Connor', '’', 'views', ',', 'expressed', 'December', '10', ',', '2000', ',', 'memo', ',', 'endorsed', 'fellow', 'conservative-centrist', 'Kennedy', 'took', 'lead', 'writing', 'unsigned', '“', 'per', 'curiam', '”', 'opinion', 'issued', 'late', 'evening', 'December', '12', ',', 'new', 'documents', 'show', '.']",36,"['O', 's', 'in', 'a', 'were', 'by', 'as', 'he', 'the', 'in', 'the', 'on', 'the', 'of', 'the']",15,0.29,
Sentence 16,48,"['shared', 'views', '’', 'Connor', 'Kennedy', 'eventually', 'forced', 'Rehnquist', 'abandon', 'effort', 'author', 'main', 'opinion', 'boundary-pushing', 'view', 'federal', 'election', 'principles', '–', 'views', 'would', 'come', 'Donald', 'Trump', '’', 'attempt', 'overturn', '2020', 'presidential', 'election', '.']",31,"['The', 'of', 'O', 'and', 'to', 'his', 'to', 'the', 'with', 'a', 'of', 'that', 'up', 'during', 's', 'to', 'the']",17,0.35,
Sentence 17,31,"['Even', 'outcome', 'case', 'plainly', 'pleased', '–', 'alternately', 'upset', '–', 'divided', 'nation', ',', 'questions', 'remained', 'crafting', 'unsigned', 'December', '12', 'opinion', '.']",20,"['as', 'the', 'of', 'the', 'and', 'a', 'have', 'over', 'the', 'of', 'the']",11,0.35,
Sentence 18,25,"['issued', '36', 'days', 'election', 'uncertainty', 'Florida', 'one', 'day', 'justices', 'held', 'oral', 'arguments', 'Washington', '.']",14,"['It', 'was', 'after', 'of', 'in', 'but', 'just', 'after', 'the', 'had', 'in']",11,0.44,
Sentence 19,19,"['Florida', 'results', 'close', 'call', 'end', 'Election', 'Day', ',', 'November', '7', '.']",11,"['The', 'had', 'been', 'too', 'to', 'at', 'the', 'of']",8,0.42,
