Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,15,"['Another', 'Met', 'Gala', 'books', ',', 'theme', '?']",7,"['in', 'the', 'so', 'how', 'did', 'they', 'do', 'on']",8,0.53,
Sentence 2,13,"['|', 'AP', 'News', 'vintage', 'couture', 'world', 'Chanel-inspired', 'camellias', '.']",9,"['In', 'and', 'a', 'of']",4,0.31,
Sentence 3,14,"['pearls', ',', 'chains', 'black', 'ties', ',', 'especially', 'worn', 'women', '.']",10,"['In', 'and', 'those', 'by']",4,0.29,
Sentence 4,23,"['A-list', 'crowd', 'Met', 'Gala', 'Monday', 'largely', 'passed', 'muster', 'embracing', 'Karl', 'Lagerfeld', ',', 'man', 'evening', '.']",15,"['The', 'at', 'the', 'on', 'in', 'the', 'of', 'the']",8,0.35,
Sentence 5,4,"[""'s"", '.']",2,"['That', 'most']",2,0.5,
Sentence 6,3,['.'],1,"['Not', 'all']",2,0.67,
Sentence 7,12,"['Over-the-top', 'dressing', 'fashion', ""'s"", 'biggest', 'night', '’', 'dead', '.']",9,"['for', 'isn', 't']",3,0.25,
Sentence 8,15,"['Misinterpreting', 'outright', 'ignoring', 'night', '’', 'dress', 'code', '’', 'buried', '.']",10,"['or', 'the', 's', 'isn', 't']",5,0.33,
Sentence 9,36,"['time', 'around', ',', 'air', 'respect', ',', 'nod', 'authenticity', '“', 'honor', 'Karl', ',', '”', 'fundraising', 'party', '’', 'visionary', ',', 'Anna', 'Wintour', ',', 'requested', '.']",23,"['But', 'this', 'there', 'was', 'an', 'of', 'a', 'to', 'in', 'of', 'as', 'the', 's']",13,0.36,
Sentence 10,12,"['fashion', 'experts', ""n't"", 'bothered', 'transgressions', 'elegance', '.']",7,"['Some', 'were', 'by', 'the', 'on']",5,0.42,
Sentence 11,16,"['NEW', 'YORK', '(', 'AP', ')', '—', 'vintage', 'couture', 'world', 'Chanel-inspired', 'camellias', '.']",12,"['In', 'and', 'a', 'of']",4,0.25,
Sentence 12,41,"['pearls', ',', 'chains', 'black', 'ties', ',', 'especially', 'worn', 'women', ',', 'A-list', 'crowd', 'Met', 'Gala', 'largely', 'passed', 'muster', 'embracing', 'Karl', 'Lagerfeld', ',', 'man', 'evening', 'fashion', '’', 'biggest', 'night', '.']",28,"['In', 'and', 'those', 'by', 'the', 'at', 'the', 'in', 'the', 'of', 'the', 'on', 's']",13,0.32,
Sentence 13,2,['.'],1,['Most'],1,0.5,
