Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,75,"['DeSantis', '’', 'anti-ESG', 'vendetta', 'strips', 'away', 'choice', '|', 'Commentary', '–', 'Orlando', 'Sentinel', 'Ron', 'DeSantis', ""'"", 'crackdown', 'banking', ',', 'investing', 'ESG', 'principles', 'address', 'climate', 'change', ',', 'diversity', 'take', 'Florida', 'woke', 'broke', 'Daily', 'e-Edition', 'Evening', 'e-Edition', 'Sign', 'email', 'newsletters', 'Sign', 'email', 'newsletters', 'Daily', 'e-Edition', 'Evening', 'e-Edition', 'Trending', ':', 'imperfect', ',', 'America', '’', 'free', 'enterprise', 'system', 'powered', 'strong', ',', 'innovative', ',', 'formerly', 'best-in-the-world', 'economy', '.']",62,"['on', 'on', 'that', 'from', 'to', 'up', 'for', 'up', 'for', 'While', 's', 'has', 'a']",13,0.17,
Sentence 2,18,"['Consumers', 'greater', 'voice', '—', 'determining', 'companies', 'fail', 'succeed', 'based', 'purchase', 'decisions', '.']",12,"['have', 'a', 'which', 'or', 'on', 'their']",6,0.33,
Sentence 3,33,"['Unfortunately', ',', 'American', 'recipe', 'economic', 'resilience', 'growth', 'targeted', 'Florida', 'Governor', 'Ron', 'DeSantis', 'Republican', 'cohorts', '–', 'jeopardizing', 'free', 'market', 'blessings', 'obvious', 'political', 'theater', '.']",23,"['this', 'for', 'and', 'is', 'being', 'in', 'by', 'and', 'his', 'for']",10,0.3,
Sentence 4,9,"['session', 'seen', 'attacks', 'ESG', 'principles', '.']",6,"['This', 'has', 'on']",3,0.33,
Sentence 5,49,"['anti-capitalist', 'legislation', 'part', 'initiative', '“', 'protect', '”', 'Floridians', '“', 'ESG', 'financial', 'fraud.', '”', 'DeSantis', 'lawmakers', '’', 'protecting', 'Floridians', 'anything', ',', 'except', 'responsible', 'companies', 'protect', 'environment', 'make', 'positive', 'contributions', 'communities', 'serve', '.']",31,"['This', 'is', 'of', 'an', 'to', 'from', 'But', 'and', 'aren', 't', 'from', 'from', 'that', 'the', 'and', 'to', 'the', 'they']",18,0.37,
Sentence 6,13,"['Instead', ',', 'leaders', 'eliminating', 'freedom', 'free', 'market', 'choice', '.']",9,"['our', 'are', 'the', 'of']",4,0.31,
Sentence 7,17,"['ESG', '“', 'environmental', ',', 'social', ',', 'governance', '”', 'component', 'corporate', 'social', 'responsibility', '.']",13,"['or', 'is', 'a', 'of']",4,0.24,
Sentence 8,18,"['corporate', 'social', 'responsibility', 'act', ',', 'ESG', 'measure', 'act', '.']",9,"['While', 'is', 'how', 'you', 'is', 'how', 'you', 'how', 'you']",9,0.5,
Sentence 9,18,"['factors', 'business', '’', 'decisions', 'enhances', 'transparency', 'customers', 'stakeholders', '.']",9,"['It', 'into', 'a', 's', 'and', 'its', 'with', 'its', 'and']",9,0.5,
Sentence 10,28,"['community', 'bank', ',', 'Climate', 'First', 'Bank', ',', 'built', 'corporate', 'social', 'responsibility', 'ESG', 'DNA', 'part', 'originally', 'established', 'business', 'plan', '.']",19,"['My', 'was', 'with', 'and', 'in', 'its', 'as', 'of', 'its']",9,0.32,
