Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,36,"['‘', 'Below-the-line', '’', 'worker', 'needs', '‘', 'proper', 'deals', '’', 'Hollywood', 'studios', '11,000', 'film', 'TV', 'writers', 'hit', 'picket', 'lines', 'today', 'demand', 'higher', 'pay', ',', 'better', 'working', 'conditions', ',', '.']",28,"['with', 'More', 'than', 'and', 'the', 'to', 'and', 'more']",8,0.22,
Sentence 2,14,"['KCRW', 'hears', 'set', 'dresser', ',', 'plus', 'stunt', 'driver', 'actor', '.']",10,"['from', 'a', 'a', 'and']",4,0.29,
Sentence 3,8,"['Hollywood', 'writers', 'carry', 'signs', 'strike', '.']",6,"['during', 'a']",2,0.25,
Sentence 4,14,"['“', '’', 'act', 'like', 'corporate', 'villain', 'written', 'James', 'Cameron', '.']",10,"['Don', 't', 'a', 'by']",4,0.29,
Sentence 5,10,"['good', 'look', ',', '”', 'says', 'one', 'sign', '.']",8,"['Not', 'a']",2,0.2,
Sentence 6,8,"['May', '2', ',', '2023', 'Los', 'Angeles', '.']",7,['in'],1,0.12,
Sentence 7,5,"['Photo', 'Adam', 'Stein', '.']",4,['by'],1,0.2,
Sentence 8,44,"['11,000', 'members', 'Writers', 'Guild', 'America', 'hit', 'picket', 'lines', 'demand', 'higher', 'pay', ',', 'protections', 'new', 'technology', ',', 'better', 'working', 'conditions', ',', '“', 'line', '”', 'workers', 'also', 'bracing', 'Hollywood', 'intermission', '.']",29,"['As', 'more', 'than', 'of', 'the', 'of', 'the', 'to', 'from', 'and', 'below', 'the', 'are', 'for', 'a']",15,0.34,
Sentence 9,7,"['already', 'feeling', 'sting', '.']",4,"['Some', 'are', 'the']",3,0.43,
Sentence 10,22,"['KCRW', 'hears', 'set', 'dresser', ',', 'plus', 'stunt', 'driver', 'actor', 'writers', '’', 'strike', 'affects', '.']",14,"['from', 'a', 'a', 'and', 'about', 'how', 'the', 'them']",8,0.36,
Sentence 11,49,"['Greater', 'LA', 'Latest', 'Episode', ':', '‘', 'Gone', 'Wolves', '’', 'brings', 'LA', '’', '1980s', 'metal', 'scene', 'back', 'life', '11,000', 'film', 'TV', 'writers', 'hit', 'picket', 'lines', 'today', 'demand', 'higher', 'pay', ',', 'better', 'working', 'conditions', ',', '.']",34,"['More', 'from', 'From', 'this', 'to', 'the', 's', 'to', 'More', 'than', 'and', 'the', 'to', 'and', 'more']",15,0.31,
Sentence 12,29,"['KCRW', 'hears', 'set', 'dresser', ',', 'plus', 'stunt', 'driver', '...', '10', 'min', '71,000', 'people', 'died', 'fentanyl', 'overdoses', '2021', ',', 'according', 'CDC', '.']",21,"['from', 'a', 'a', 'Some', 'from', 'in', 'to', 'the']",8,0.28,
Sentence 13,16,"['Orange', 'County', '’', 'civic', 'leaders', 'looking', 'ways', 'something', '.']",9,"['s', 'are', 'for', 'to', 'do', 'about', 'it']",7,0.44,
Sentence 14,37,"['5', 'min', 'John', 'Wray', '’', 'new', 'novel', '“', 'Gone', 'Wolves', ',', '”', 'characters', 'travel', 'Florida', 'swamps', '1980s', 'Sunset', 'Strip', 'Norway', '––', 'name', 'metal', '.']",24,"['In', 's', 'to', 'the', 'the', 'from', 'to', 'the', 'to', 'all', 'in', 'the', 'of']",13,0.35,
Sentence 15,21,"['12', 'min', 'Get', 'Involved', 'Featured', 'best', 'see', ',', 'hear', ',', 'eat', ',', ',', '.']",14,"['The', 'of', 'what', 'to', 'do', 'and', 'more']",7,0.33,
Sentence 16,28,"['Want', 'win', 'total', '8', 'nights', 'Yosemite', ',', 'Joshua', 'Tree', ',', 'Zion', ',', 'Moab', 'thanks', 'friends', 'AutoCamp', '+', 'Field', 'Station', '?']",20,"['to', 'a', 'of', 'at', 'and', 'to', 'our', 'at']",8,0.29,
Sentence 17,13,"['donate', 'Get', 'latest', 'KCRW', 'inbox', '3x', 'week', '.']",8,"['the', 'from', 'in', 'your', 'a']",5,0.38,
